"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,2244963,2244963,16776960,17,"(anonymous namespace)::init_packed_bf16_kernel(unsigned int*, long, unsigned int)",256,0,0,8,0,128,"Wavefronts",524280.000000,237889159879616,237889186340591
2,2,"Agent 2",1,2244963,2244963,16776960,17,"(anonymous namespace)::init_packed_bf16_kernel(unsigned int*, long, unsigned int)",256,0,0,8,0,128,"Wavefronts",524280.000000,237889186538784,237889211626595
3,3,"Agent 2",1,2244963,2244963,256,17,"(anonymous namespace)::init_packed_bf16_kernel(unsigned int*, long, unsigned int)",256,0,0,8,0,128,"Wavefronts",8.000000,237889211810192,237889211812472
4,4,"Agent 2",1,2244963,2244963,39895040,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",1246720.000000,237889211907021,237889227378240
5,5,"Agent 2",1,2244963,2244963,59535360,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",1860480.000000,237889227557430,237889251790815
6,6,"Agent 2",1,2244963,2244963,100300800,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",3134400.000000,237889251973382,237889290353154
7,7,"Agent 2",1,2244963,2244963,176025600,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",5500800.000000,237889290526582,237889362543116
8,8,"Agent 2",1,2244963,2244963,325529600,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",10172800.000000,237889362715762,237889496902239
9,9,"Agent 2",1,2244963,2244963,627517440,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",19609920.000000,237889497075755,237889754580305
