scope,rows,round,num_classes,classes,actual_min,actual_p50,actual_max,ratio_p50,ratio_p90,ratio_max,overflow_rate
plen2048,1981,64,3,[192],130,130.0,132,1.476923076923077,1.476923076923077,1.476923076923077,0.0
plen2048,1981,64,4,[192],130,130.0,132,1.476923076923077,1.476923076923077,1.476923076923077,0.0
plen2048,1981,64,6,[192],130,130.0,132,1.476923076923077,1.476923076923077,1.476923076923077,0.0
plen256,2016,1,2,"[18, 20]",18,18.0,20,1.0,1.0,1.0,0.0
plen256,2016,1,3,"[18, 20]",18,18.0,20,1.0,1.0,1.0,0.0
plen256,2016,1,4,"[18, 20]",18,18.0,20,1.0,1.0,1.0,0.0
plen256,2016,1,6,"[18, 20]",18,18.0,20,1.0,1.0,1.0,0.0
plen256,2016,4,2,[20],18,18.0,20,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.0
plen256,2016,4,3,[20],18,18.0,20,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.0
plen256,2016,4,4,[20],18,18.0,20,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.0
plen256,2016,4,6,[20],18,18.0,20,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.0
plen256,2016,8,2,[24],18,18.0,20,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0
plen256,2016,8,3,[24],18,18.0,20,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0
plen256,2016,8,4,[24],18,18.0,20,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0
plen256,2016,8,6,[24],18,18.0,20,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0
plen256,2016,16,2,[32],18,18.0,20,1.7777777777777777,1.7777777777777777,1.7777777777777777,0.0
plen256,2016,16,3,[32],18,18.0,20,1.7777777777777777,1.7777777777777777,1.7777777777777777,0.0
plen256,2016,16,4,[32],18,18.0,20,1.7777777777777777,1.7777777777777777,1.7777777777777777,0.0
plen256,2016,16,6,[32],18,18.0,20,1.7777777777777777,1.7777777777777777,1.7777777777777777,0.0
plen256,2016,64,2,[64],18,18.0,20,3.5555555555555554,3.5555555555555554,3.5555555555555554,0.0
plen256,2016,64,3,[64],18,18.0,20,3.5555555555555554,3.5555555555555554,3.5555555555555554,0.0
plen256,2016,64,4,[64],18,18.0,20,3.5555555555555554,3.5555555555555554,3.5555555555555554,0.0
plen256,2016,64,6,[64],18,18.0,20,3.5555555555555554,3.5555555555555554,3.5555555555555554,0.0
plen512,2016,1,2,"[34, 36]",34,34.0,36,1.0,1.0,1.0,0.0
plen512,2016,1,3,"[34, 36]",34,34.0,36,1.0,1.0,1.0,0.0
plen512,2016,1,4,"[34, 36]",34,34.0,36,1.0,1.0,1.0,0.0
plen512,2016,1,6,"[34, 36]",34,34.0,36,1.0,1.0,1.0,0.0
plen512,2016,4,2,[36],34,34.0,36,1.0588235294117647,1.0588235294117647,1.0588235294117647,0.0
plen512,2016,4,3,[36],34,34.0,36,1.0588235294117647,1.0588235294117647,1.0588235294117647,0.0
plen512,2016,4,4,[36],34,34.0,36,1.0588235294117647,1.0588235294117647,1.0588235294117647,0.0
plen512,2016,4,6,[36],34,34.0,36,1.0588235294117647,1.0588235294117647,1.0588235294117647,0.0
plen512,2016,8,2,[40],34,34.0,36,1.1764705882352942,1.1764705882352942,1.1764705882352942,0.0
plen512,2016,8,3,[40],34,34.0,36,1.1764705882352942,1.1764705882352942,1.1764705882352942,0.0
plen512,2016,8,4,[40],34,34.0,36,1.1764705882352942,1.1764705882352942,1.1764705882352942,0.0
plen512,2016,8,6,[40],34,34.0,36,1.1764705882352942,1.1764705882352942,1.1764705882352942,0.0
plen512,2016,16,2,[48],34,34.0,36,1.411764705882353,1.411764705882353,1.411764705882353,0.0
plen512,2016,16,3,[48],34,34.0,36,1.411764705882353,1.411764705882353,1.411764705882353,0.0
plen512,2016,16,4,[48],34,34.0,36,1.411764705882353,1.411764705882353,1.411764705882353,0.0
plen512,2016,16,6,[48],34,34.0,36,1.411764705882353,1.411764705882353,1.411764705882353,0.0
plen512,2016,64,2,[64],34,34.0,36,1.8823529411764706,1.8823529411764706,1.8823529411764706,0.0
plen512,2016,64,3,[64],34,34.0,36,1.8823529411764706,1.8823529411764706,1.8823529411764706,0.0
plen512,2016,64,4,[64],34,34.0,36,1.8823529411764706,1.8823529411764706,1.8823529411764706,0.0
plen512,2016,64,6,[64],34,34.0,36,1.8823529411764706,1.8823529411764706,1.8823529411764706,0.0
plen64,1994,1,2,"[6, 8]",6,6.0,8,1.0,1.0,1.0,0.0
plen64,1994,1,3,"[6, 8]",6,6.0,8,1.0,1.0,1.0,0.0
plen64,1994,1,4,"[6, 8]",6,6.0,8,1.0,1.0,1.0,0.0
plen64,1994,1,6,"[6, 8]",6,6.0,8,1.0,1.0,1.0,0.0
plen64,1994,4,2,[8],6,6.0,8,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0
plen64,1994,4,3,[8],6,6.0,8,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0
plen64,1994,4,4,[8],6,6.0,8,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0
