dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,filter_ratio,transform_active_ratio,early_exit_ratio,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,work_capacity,persistent_blocks,metadata_builder,variant,worklist_builder,order,ticket_batch_size,gpu_kernel_ms,cpu_preprocess_ms,h2d_metadata_ms,gpu_preprocess_ms,gpu_metadata_ms,end_to_end_ms,speedup_vs_static_node,end_to_end_speedup_vs_static_node,max_abs_diff
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2048,48,gpu,static_chunked,gpu,identity,0,0.014948099851608276,0.0,0.0,0.5656059947796166,0.18028599151875824,0.5805540946312249,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2048,48,gpu,static_chunked_fixed,fixed,identity,0,0.015360100567340851,0.0,0.0,0.2345609973417595,0.18028599151875824,0.24992109790910036,0.9731772123544175,2.322949520821888,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2048,48,gpu,persistent_chunked,gpu,identity,1,0.023756200075149538,0.0,0.0,0.5656059947796166,0.18028599151875824,0.5893621948547662,0.6292294139770661,0.9850548604908196,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2048,48,gpu,persistent_chunked,gpu,identity,4,0.024212099611759186,0.0,0.0,0.5656059947796166,0.18028599151875824,0.5898180943913758,0.6173813957195341,0.9842934629367207,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2048,48,gpu,static_chunked,gpu,bucket,0,0.014136099815368652,0.0,0.0,0.2586269984021783,0.18028599151875824,0.27276309821754696,1.0574415890411883,2.128418757614323,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2048,48,gpu,static_chunked_fixed,fixed,bucket,0,0.015060099959373473,0.0,0.0,0.23551199410576373,0.18028599151875824,0.2505720940651372,0.9925631232151625,2.3169144065991145,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2048,48,gpu,persistent_chunked,gpu,bucket,1,0.023552100360393523,0.0,0.0,0.2586269984021783,0.18028599151875824,0.2821790987625718,0.6346822416206158,2.057395807049865,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2048,48,gpu,persistent_chunked,gpu,bucket,4,0.023972199857234956,0.0,0.0,0.2586269984021783,0.18028599151875824,0.28259919825941326,0.6235597876136031,2.0543373732373524,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2048,256,gpu,static_chunked,gpu,identity,0,0.014512099325656891,0.0,0.0,0.29823300428688526,0.1942930102813989,0.31274510361254215,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2048,256,gpu,static_chunked_fixed,fixed,identity,0,0.015348100662231445,0.0,0.0,0.24762599787209183,0.1942930102813989,0.2629740985343233,0.9455306324233471,1.189262004720677,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2048,256,gpu,persistent_chunked,gpu,identity,1,0.0212240993976593,0.0,0.0,0.29823300428688526,0.1942930102813989,0.31945710368454455,0.6837557181463896,0.9789893541430517,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2048,256,gpu,persistent_chunked,gpu,identity,4,0.024508200585842133,0.0,0.0,0.29823300428688526,0.1942930102813989,0.3227412048727274,0.5921323874768767,0.969027502192888,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2048,256,gpu,static_chunked,gpu,bucket,0,0.014416100084781646,0.0,0.0,0.2709210093598813,0.1942930102813989,0.28533710944466295,1.0066591685900257,1.0960547831343144,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2048,256,gpu,static_chunked_fixed,fixed,bucket,0,0.015416200459003448,0.0,0.0,0.2467030135449022,0.1942930102813989,0.26211921400390564,0.941353828671932,1.1931407043204478,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2048,256,gpu,persistent_chunked,gpu,bucket,1,0.021348200738430023,0.0,0.0,0.2709210093598813,0.1942930102813989,0.2922692100983113,0.6797809100386102,1.070058332546707,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2048,256,gpu,persistent_chunked,gpu,bucket,4,0.024272200465202332,0.0,0.0,0.2709210093598813,0.1942930102813989,0.2951932098250836,0.5978897276520956,1.0594590024542194,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,48,gpu,static_chunked,gpu,identity,0,0.015224100649356842,0.0,0.0,0.23536299704574049,0.14030000602360815,0.25058709769509735,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,48,gpu,static_chunked_fixed,fixed,identity,0,0.015516099333763123,0.0,0.0,0.19299201085232198,0.14030000602360815,0.20850811018608512,0.9811809219491854,1.2018098359409541,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,48,gpu,persistent_chunked,gpu,identity,1,0.023820200562477113,0.0,0.0,0.23536299704574049,0.14030000602360815,0.2591831976082176,0.6391256282425548,0.9668338843241135,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,48,gpu,persistent_chunked,gpu,identity,4,0.026488199830055237,0.0,0.0,0.23536299704574049,0.14030000602360815,0.2618511968757957,0.5747502943587199,0.956982823393237,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,48,gpu,static_chunked,gpu,bucket,0,0.01528010070323944,0.0,0.0,0.2150830114260316,0.14030000602360815,0.23036311212927102,0.9963350991613081,1.0877917709085185,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,48,gpu,static_chunked_fixed,fixed,bucket,0,0.01539209932088852,0.0,0.0,0.19281099957879633,0.14030000602360815,0.20820309889968486,0.9890853958235776,1.2035704512536276,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,48,gpu,persistent_chunked,gpu,bucket,1,0.02395219951868057,0.0,0.0,0.2150830114260316,0.14030000602360815,0.23903521094471217,0.6356034500081467,1.0483271343361087,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,48,gpu,persistent_chunked,gpu,bucket,4,0.027324199676513672,0.0,0.0,0.2150830114260316,0.14030000602360815,0.24240721110254526,0.5571654734481615,1.0337444028803737,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,256,gpu,static_chunked,gpu,identity,0,0.015268099308013917,0.0,0.0,0.2332379954168573,0.13936799950897694,0.24850609472487123,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,256,gpu,static_chunked_fixed,fixed,identity,0,0.015496100485324859,0.0,0.0,0.19185899873264134,0.13936799950897694,0.2073550992179662,0.9852865449906663,1.1984566362829023,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,256,gpu,persistent_chunked,gpu,identity,1,0.022008199989795686,0.0,0.0,0.2332379954168573,0.13936799950897694,0.255246195406653,0.6937459362916149,0.9735937271423631,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,256,gpu,persistent_chunked,gpu,identity,4,0.026440200209617615,0.0,0.0,0.2332379954168573,0.13936799950897694,0.25967819562647493,0.577457779705471,0.9569771313503972,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,256,gpu,static_chunked,gpu,bucket,0,0.015356099605560303,0.0,0.0,0.2145019971067086,0.13936799950897694,0.2298580967122689,0.9942693587690378,1.0811283060258934,0.0
fp16,32,64,8,32,256,0.8,0.1,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,256,gpu,static_chunked_fixed,fixed,bucket,0,0.01541610062122345,0.0,0.0,0.19253100617788732,0.13936799950897694,0.20794710679911077,0.9903995623247439,1.1950447330096439,0.0
