dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,filter_ratio,transform_active_ratio,early_exit_ratio,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,persistent_blocks,metadata_builder,variant,worklist_builder,order,ticket_batch_size,gpu_kernel_ms,cpu_preprocess_ms,h2d_metadata_ms,gpu_preprocess_ms,gpu_metadata_ms,end_to_end_ms,speedup_vs_static_node,end_to_end_speedup_vs_static_node,max_abs_diff
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,48,gpu,static_chunked,gpu,identity,0,0.01759999990463257,0.0,0.0,0.5378259957069531,0.15419699775520712,0.5554259956115857,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,48,gpu,persistent_chunked,gpu,identity,1,0.027880333364009857,0.0,0.0,0.5378259957069531,0.15419699775520712,0.565706329070963,0.6312693494315259,0.9818274377869163,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,48,gpu,static_chunked,gpu,bucket,0,0.017266999930143356,0.0,0.0,0.2297930041095242,0.15419699775520712,0.24706000403966755,1.019285340582407,2.248142097182219,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,48,gpu,persistent_chunked,gpu,bucket,1,0.0264533335963885,0.0,0.0,0.2297930041095242,0.15419699775520712,0.2562463377059127,0.665322570423993,2.167547058756538,0.0
