mode,launch_mode,strategy,classes,traces,actual_min,actual_p50,actual_p90,actual_max,total_actual_blocks,total_capacity_blocks,empty_blocks,empty_block_fraction,capacity_actual_ratio_p50,capacity_actual_ratio_p90,capacity_actual_ratio_p99,capacity_actual_ratio_max,overflow,launch_count,metadata_setup_ms,event_ms,wall_ms,per_trace_event_us,per_trace_wall_us
paged_kv_attn,fused,single_max,1056,11932,48,160.0,1040.0,1056,4260688,12600192,8339504,0.6618553114111277,6.6,16.5,22.0,22.0,0,1,57.94308599433862,550.1478271484375,550.1927990020098,46.10692483644297,46.11069384864313
paged_kv_attn,fused,capacity_class,64 96 160 288 544 1056,11932,48,160.0,1040.0,1056,4260688,4358336,97648,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,6,57.94308599433862,547.4109497070312,547.5383169929652,45.877551936559776,45.88822636548485
paged_kv_attn,fused,round64_class,192 1088,11932,48,160.0,1040.0,1056,4260688,7589888,3329200,0.4386362486508365,2.0606060606060606,4.0,4.0,4.0,0,2,57.94308599433862,548.91015625,548.9629010068408,46.00319780841435,46.00761825400945
paged_kv_attn,fused,exact_work_sim,48 64 80 96 144 160 272 288 528 544 1040 1056,11932,48,160.0,1040.0,1056,4260688,4260688,0,0.0,1.0,1.0,1.0,1.0,0,12,57.94308599433862,547.2017822265625,547.5531260017306,45.86002197674845,45.88946748254531
