dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,filter_ratio,transform_active_ratio,early_exit_ratio,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,persistent_blocks,metadata_builder,variant,worklist_builder,order,ticket_batch_size,gpu_kernel_ms,cpu_preprocess_ms,h2d_metadata_ms,gpu_preprocess_ms,gpu_metadata_ms,end_to_end_ms,speedup_vs_static_node,end_to_end_speedup_vs_static_node,max_abs_diff
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,256,gpu,static_chunked,gpu,identity,0,0.01597210019826889,0.0,0.0,0.2385179977864027,0.13568099529948086,0.2544900979846716,1.0,1.0,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,256,gpu,persistent_chunked,gpu,identity,1,0.022396300733089448,0.0,0.0,0.2385179977864027,0.13568099529948086,0.26091429851949216,0.7131579624964978,0.9753781200521648,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,256,gpu,persistent_chunked,gpu,identity,4,0.028508299589157106,0.0,0.0,0.2385179977864027,0.13568099529948086,0.26702629737555983,0.5602614125868014,0.953052566304896,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,256,gpu,static_chunked,gpu,bucket,0,0.015668100118637084,0.0,0.0,0.21174798894207925,0.13568099529948086,0.22741608906071634,1.019402485134123,1.1190505431510034,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,256,gpu,persistent_chunked,gpu,bucket,1,0.02244430035352707,0.0,0.0,0.21174798894207925,0.13568099529948086,0.23419228929560632,0.7116327952614888,1.0866715499050639,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,256,gpu,persistent_chunked,gpu,bucket,4,0.028644299507141112,0.0,0.0,0.21174798894207925,0.13568099529948086,0.24039228844922036,0.5576013543039164,1.0586450157215805,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,512,gpu,static_chunked,gpu,identity,0,0.015856200456619264,0.0,0.0,0.2158249990316108,0.13524999667424709,0.23168119948823004,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,512,gpu,persistent_chunked,gpu,identity,1,0.022500200569629668,0.0,0.0,0.2158249990316108,0.13524999667424709,0.23832519960124046,0.704713738330922,0.9721221250454128,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,512,gpu,persistent_chunked,gpu,identity,4,0.02844429910182953,0.0,0.0,0.2158249990316108,0.13524999667424709,0.2442692981334403,0.5574473956927065,0.9484663085316043,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,512,gpu,static_chunked,gpu,bucket,0,0.015624199807643891,0.0,0.0,0.20980299450457096,0.13524999667424709,0.22542719431221486,1.0148488019758855,1.0277429047329287,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,512,gpu,persistent_chunked,gpu,bucket,1,0.022400200366973877,0.0,0.0,0.20980299450457096,0.13524999667424709,0.23220319487154484,0.7078597600402329,0.9977519887975548,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,512,gpu,persistent_chunked,gpu,bucket,4,0.028544300794601442,0.0,0.0,0.20980299450457096,0.13524999667424709,0.2383472952991724,0.5554944425059497,0.9720320056387671,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,1024,gpu,static_chunked,gpu,identity,0,0.015856100618839263,0.0,0.0,0.2149339998140931,0.1350499951513484,0.23079010043293238,1.0,1.0,0.0
