dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,persistent_blocks,variant,order,ticket_batch_size,ms,speedup_vs_static_node,max_abs_diff
fp16,32,64,8,64,1024,0.8,1.3,0,2049,64.03125,137.10000000000002,248,64,0,persistent_node,sorted,4,0.05941454768180847,0.33433226087962337,0.0
fp16,32,64,8,64,1024,0.8,1.3,0,2049,64.03125,137.10000000000002,248,64,0,persistent_chunked,sorted,4,0.04388439953327179,0.45264832758025525,6.103515625e-05
fp16,32,64,8,64,1024,0.8,1.3,1,2048,64.0,81.9,375,64,0,static_node,identity,0,0.026598250865936278,1.0,0.0
fp16,32,64,8,64,1024,0.8,1.3,1,2048,64.0,81.9,375,64,0,static_node,sorted,0,0.025240251421928407,1.053802928556728,0.0
fp16,32,64,8,64,1024,0.8,1.3,1,2048,64.0,81.9,375,64,0,static_chunked,identity,0,0.01923619955778122,1.3827185970930023,6.103515625e-05
fp16,32,64,8,64,1024,0.8,1.3,1,2048,64.0,81.9,375,64,0,persistent_node,identity,1,0.049034449458122256,0.5424400836528703,0.0
fp16,32,64,8,64,1024,0.8,1.3,1,2048,64.0,81.9,375,64,0,persistent_chunked,identity,1,0.046440398693084715,0.5727395029857255,6.103515625e-05
fp16,32,64,8,64,1024,0.8,1.3,1,2048,64.0,81.9,375,64,0,persistent_node,identity,4,0.09246485233306885,0.2876579607798039,0.0
fp16,32,64,8,64,1024,0.8,1.3,1,2048,64.0,81.9,375,64,0,persistent_chunked,identity,4,0.04867244958877563,0.5464744653425068,6.103515625e-05
fp16,32,64,8,64,1024,0.8,1.3,1,2048,64.0,81.9,375,64,0,static_chunked,sorted,0,0.018404200673103333,1.4452271705995943,6.103515625e-05
fp16,32,64,8,64,1024,0.8,1.3,1,2048,64.0,81.9,375,64,0,persistent_node,sorted,1,0.03649435043334961,0.7288320123552607,0.0
fp16,32,64,8,64,1024,0.8,1.3,1,2048,64.0,81.9,375,64,0,persistent_chunked,sorted,1,0.04567239880561828,0.5823703497409546,6.103515625e-05
