dtype,tasks,tile_tokens,dim,num_transforms,lds_fits,policy,best_variant,global_ms,lds_ms,chunk2_ms,chunk4_ms,chunk8_ms,auto_ms,auto_speedup_vs_global,best_speedup_vs_global,auto_vs_best,max_abs_diff_auto
fp16,32,64,32,8,1,graph_global,global,0.009421999752521514,0.01884389966726303,0.01038995012640953,0.013241949677467345,0.0188619002699852,0.00940599963068962,1.0017010549075176,1.0,1.0017010549075176,0.0
fp16,32,64,32,16,1,graph_lds_chunked(chunk=2),chunk2,0.01161390021443367,0.030897849798202516,0.011503899842500687,0.013661949336528778,0.01928589940071106,0.011479949951171875,1.0116681922683923,1.0095620070966362,1.0020862365629362,0.0
fp16,32,64,32,32,1,graph_lds_chunked(chunk=2),chunk2,0.01614595055580139,0.05518574714660644,0.015779900550842284,0.015851899981498718,0.020279949903488158,0.015695950388908385,1.0286698260215579,1.0231972314261237,1.005348523654434,0.0
fp16,32,64,64,8,1,graph_global,global,0.012177900224924088,0.02722184956073761,0.013753950595855713,0.018139900267124177,0.02737790048122406,0.012603950500488282,0.966197084354807,1.0,0.966197084354807,0.0
fp16,32,64,64,16,1,graph_global,chunk2,0.016053900122642517,0.046999800205230716,0.01602794975042343,0.019189900159835814,0.02829185128211975,0.016065900027751923,0.9992530822992377,1.0016190699760834,0.9976378368306204,0.0
fp16,32,64,64,32,1,graph_lds_chunked(chunk=2),chunk2,0.02398589998483658,0.08681759834289551,0.02288990020751953,0.023305900394916534,0.029993849992752075,0.02290389984846115,1.0472408691766142,1.0478813698347624,0.9993887660601799,0.0
fp16,32,64,128,8,1,graph_global,global,0.018119899928569792,0.044385799765586854,0.020635899901390076,0.02871985137462616,0.04410980045795441,0.017895899713039398,1.0125168457089186,1.0,1.0125168457089186,0.0
fp16,32,64,128,16,1,graph_lds_chunked(chunk=2),global,0.02503589987754822,0.07953959703445435,0.026033848524093628,0.03090985119342804,0.046731749176979066,0.025377899408340454,0.9865237258100314,1.0,0.9865237258100314,0.0
fp16,32,64,128,32,1,graph_lds_chunked(chunk=2),chunk2,0.03996379971504212,0.15228724479675293,0.03882980048656463,0.03985979855060577,0.05103175044059753,0.038213801383972165,1.0457949292583057,1.0292043537249143,1.0161198069881328,0.0
fp16,32,128,32,8,1,graph_global,global,0.012535950541496277,0.02827785015106201,0.01396390050649643,0.01864989995956421,0.02787584960460663,0.012361949682235718,1.0140755191319537,1.0,1.0140755191319537,0.0
