mode,launch_mode,strategy,classes,traces,actual_min,actual_p50,actual_p90,actual_max,total_actual_blocks,total_capacity_blocks,empty_blocks,empty_block_fraction,capacity_actual_ratio_p50,capacity_actual_ratio_p90,capacity_actual_ratio_p99,capacity_actual_ratio_max,overflow,launch_count,metadata_setup_ms,event_ms,wall_ms,per_trace_event_us,per_trace_wall_us
paged_kv_full,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,2,57.87574301939458,61.694759368896484,62.10592499701306,5.170529615227664,5.204988685636361
paged_kv_full,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,7,57.87574301939458,58.428958892822266,58.60151933544936,4.896828603153056,4.911290591304841
paged_kv_full,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,3,57.87574301939458,62.540016174316406,62.04327799302215,5.241369106127758,5.199738350068903
