mode,launch_mode,strategy,classes,traces,actual_min,actual_p50,actual_p90,actual_max,total_actual_blocks,total_capacity_blocks,empty_blocks,empty_block_fraction,capacity_actual_ratio_p50,capacity_actual_ratio_p90,capacity_actual_ratio_p99,capacity_actual_ratio_max,overflow,launch_count,metadata_setup_ms,event_ms,wall_ms,per_trace_event_us,per_trace_wall_us
paged_kv_full,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,2,57.74503498105332,66.3853988647461,65.06975699448958,5.563643887424245,5.453382248951524
paged_kv_full_producer,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,1,57.74503498105332,64.72077941894531,64.81885466685829,5.424135050196557,5.432354564771898
paged_kv_full_reduce,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,1,57.74503498105332,0.6784070134162903,0.7030343307026973,0.05685610236475782,0.058920074648231416
paged_kv_full_reduce_ml,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,1,57.74503498105332,0.2536419928073883,0.2979256581359853,0.021257290714665464,0.024968627064698736
paged_kv_full,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,7,57.74503498105332,61.88923263549805,61.9565713374565,5.186828078737684,5.192471617285996
paged_kv_full_producer,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,6,57.74503498105332,61.24482727050781,61.17408132801453,5.132821594913494,5.126892501509766
paged_kv_full_reduce,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,1,57.74503498105332,0.6836469769477844,0.7487553327033917,0.057295254521269226,0.06275187166471603
paged_kv_full_reduce_ml,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,1,57.74503498105332,0.2602419853210449,0.3164679995582749,0.021810424515675907,0.026522628189597296
paged_kv_full,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,3,57.74503498105332,66.35220336914062,66.07510867373396,5.560861831138168,5.537639010537543
paged_kv_full_producer,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,2,57.74503498105332,65.140380859375,65.04124532996987,5.459301111244971,5.4509927363367305
paged_kv_full_reduce,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,1,57.74503498105332,0.6875270009040833,0.7681660063099116,0.05762043252632277,0.06437864618755545
paged_kv_full_reduce_ml,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,1,57.74503498105332,0.15720100700855255,0.19544233024741212,0.013174740781809633,0.016379679035150193
