dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,filter_ratio,transform_active_ratio,early_exit_ratio,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,capacity_scale,actual_work_size,work_capacity,capacity_actual_ratio,overflowed,persistent_blocks,metadata_builder,variant,worklist_builder,order,ticket_batch_size,gpu_kernel_ms,cpu_preprocess_ms,h2d_metadata_ms,gpu_preprocess_ms,gpu_metadata_ms,metadata_build_event_ms,worklist_build_ms,worklist_build_event_ms,level2_compute_ms,end_to_end_ms,speedup_vs_static_node,end_to_end_speedup_vs_static_node,max_abs_diff
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,exact,132,132,1.0,0,48,gpu,static_chunked,gpu,identity,0,0.01773366704583168,0.0,0.0,0.6018960266374052,0.2088910259772092,0.13072100281715393,0.39300500066019595,0.0748009979724884,0.01773366704583168,0.6196296936832368,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,0.5x,132,66,0.5,1,48,gpu,static_chunked_fixed,fixed_overflow_exact,identity,0,0.017680000513792038,0.0,0.0,0.6018960266374052,0.2088910259772092,0.13072100281715393,0.39300500066019595,0.0748009979724884,0.017680000513792038,0.6195760271511972,1.0030354372443473,1.0000866181544925,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,1x,132,132,1.0,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.01749333366751671,0.0,0.0,0.28779302374459803,0.2088910259772092,0.13072100281715393,0.07890199776738882,0.04728100076317787,0.01749333366751671,0.30528635741211474,1.0137385693820753,2.0296671588464763,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,exact,132,132,1.0,0,48,gpu,persistent_chunked,gpu,identity,1,0.02683999886115392,0.0,0.0,0.6018960266374052,0.2088910259772092,0.13072100281715393,0.39300500066019595,0.0748009979724884,0.02683999886115392,0.6287360254985591,0.6607178762402252,0.9855164465753312,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,exact,132,132,1.0,0,48,gpu,static_chunked,gpu,bucket,0,0.017160333693027496,0.0,0.0,0.30875304946675897,0.2088910259772092,0.13072100281715393,0.09986202348954976,0.07196000218391418,0.017160333693027496,0.32591338315978646,1.033410384848002,1.901209725344262,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,0.5x,132,66,0.5,1,48,gpu,static_chunked_fixed,fixed_overflow_exact,bucket,0,0.017293332765499752,0.0,0.0,0.30875304946675897,0.2088910259772092,0.13072100281715393,0.09986202348954976,0.07196000218391418,0.017293332765499752,0.32604638223225874,1.0254626616108606,1.9004341941811347,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,1x,132,132,1.0,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.017347000539302826,0.0,0.0,0.27429702458903193,0.2088910259772092,0.13072100281715393,0.06540599861182272,0.035679999738931656,0.017347000539302826,0.29164402512833476,1.0222901074830077,2.1246095935295624,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,exact,132,132,1.0,0,48,gpu,persistent_chunked,gpu,bucket,1,0.02625333269437154,0.0,0.0,0.30875304946675897,0.2088910259772092,0.13072100281715393,0.09986202348954976,0.07196000218391418,0.02625333269437154,0.3350063821611305,0.6754825092980903,1.8496056394090097,0.0
