threshold,min_rows,rows,effective_row_order,first_page_unique_ratio,baseline_kernel_ms,auto_kernel_ms,kernel_speedup_vs_original,baseline_online_e2e_ms,auto_online_e2e_ms,online_e2e_speedup_vs_original,baseline_scheduler_ms,auto_scheduler_ms,scheduler_delta_ms
0.75,4096,512,original,1,4.113200,4.047980,1.016112,4.265744,4.205026,1.014439,0.152544,0.157046,0.004502
0.75,4096,2048,original,0.625,14.480985,14.956818,0.968186,14.827452,15.330982,0.967156,0.346467,0.374164,0.027697
0.75,4096,8192,first-page,0.15625,59.140694,40.017021,1.477888,69.162066,51.937712,1.331635,10.021372,11.920691,1.899319
0.75,4096,32768,first-page,0.078125,151.944214,93.930260,1.617628,165.047409,110.232756,1.497263,13.103195,16.302496,3.199301
0.75,8192,512,original,1,4.113200,4.126747,0.996717,4.265744,4.283422,0.995873,0.152544,0.156675,0.004131
0.75,8192,2048,original,0.625,14.480985,14.759984,0.981098,14.827452,15.095305,0.982256,0.346467,0.335321,-0.011146
0.75,8192,8192,first-page,0.15625,59.140694,39.908249,1.481917,69.162066,51.229013,1.350057,10.021372,11.320764,1.299392
0.75,8192,32768,first-page,0.078125,151.944214,93.748619,1.620762,165.047409,113.249989,1.457372,13.103195,19.501370,6.398175
