row_order,physical_superblock,rows,adjacent_lcp_mean,adjacent_lcp_p50,adjacent_lcp_p90,adjacent_lcp_max,adjacent_lcp_ge1_rate,adjacent_lcp_ge2_rate,adjacent_first_page_delta_mean,adjacent_first_page_delta_p50,adjacent_first_page_delta_p90,unique_pages_w32_mean,unique_pages_w32_p50,unique_pages_w32_p90,page_span_w32_mean,page_span_w32_p50,page_span_w32_p90,unique_pages_w128_mean,unique_pages_w128_p50,unique_pages_w128_p90,page_span_w128_mean,page_span_w128_p50,page_span_w128_p90,unique_pages_w512_mean,unique_pages_w512_p50,unique_pages_w512_p90,page_span_w512_mean,page_span_w512_p50,page_span_w512_p90,block_refs,reuse_hits,reuse_hit_rate,reuse_distance_p50,reuse_distance_p90,reuse_distance_p99,reuse_distance_max,reuse_hit_within_32_rate,reuse_hit_within_128_rate,reuse_hit_within_512_rate
original,1,114820,0.0,0.0,0.0,0,0.0,0.0,3.4337348348269887,1.0,2.0,39.79938701588186,32.0,64.0,219.4288102535525,36.0,1037.8000000000052,159.06458797327394,128.0,256.0,439.6547884187082,138.0,1280.0,634.8444444444444,512.0,1024.0,1162.8666666666666,1024.0,2519.0,142840,132660,0.9287314477737328,1240.0,2560.0,2560.0,2560,0.0,0.0,0.0
first-page,1,114820,1.1553836908525592,1.0,2.0,2,0.9332950121495571,0.2220886787030021,0.26627997108492496,0.0,0.0,3.9373084424630815,3.0,6.0,220.94343828364447,3.0,869.2000000000003,12.428730512249443,10.0,20.0,272.7149220489978,10.0,1566.7000000000012,46.346666666666664,35.0,72.0,404.3333333333333,35.0,1780.1999999999998,142840,132660,0.9287314477737328,1.0,2.0,2.0,2,1.0,1.0,1.0
