row_order,physical_superblock,rows,adjacent_lcp_mean,adjacent_lcp_p50,adjacent_lcp_p90,adjacent_lcp_max,adjacent_lcp_ge1_rate,adjacent_lcp_ge2_rate,adjacent_first_page_delta_mean,adjacent_first_page_delta_p50,adjacent_first_page_delta_p90,unique_pages_w32_mean,unique_pages_w32_p50,unique_pages_w32_p90,page_span_w32_mean,page_span_w32_p50,page_span_w32_p90,unique_pages_w128_mean,unique_pages_w128_p50,unique_pages_w128_p90,page_span_w128_mean,page_span_w128_p50,page_span_w128_p90,unique_pages_w512_mean,unique_pages_w512_p50,unique_pages_w512_p90,page_span_w512_mean,page_span_w512_p50,page_span_w512_p90,block_refs,reuse_hits,reuse_hit_rate,reuse_distance_p50,reuse_distance_p90,reuse_distance_p99,reuse_distance_max,reuse_hit_within_32_rate,reuse_hit_within_128_rate,reuse_hit_within_512_rate
original,16,114820,0.0,0.0,0.0,0,0.0,0.0,46.06433604194428,4.0,5.0,39.79938701588186,32.0,64.0,1178.2471440512677,701.0,1322.2000000000044,159.06458797327394,128.0,256.0,3845.7316258351893,2973.0,5984.3,634.8444444444444,512.0,1024.0,6043.608888888889,5597.0,6669.0,142840,132660,0.9287314477737328,1240.0,2560.0,2560.0,2560,0.0,0.0,0.0
first-page,16,114820,1.1553836908525592,1.0,2.0,2,0.9332950121495571,0.2220886787030021,0.9021067941716964,0.0,0.0,3.9802173307327946,3.0,6.0,41.59403733630538,9.0,73.0,12.481069042316259,10.0,20.0,128.11135857461025,41.0,100.0,46.404444444444444,35.0,72.0,471.6088888888889,157.0,238.39999999999998,142840,132660,0.9287314477737328,1.0,2.0,2.0,2,1.0,1.0,1.0
