dtype,tasks,tile_tokens,dim,num_transforms,pattern,seed,lds_fits,policy,best_variant,global_ms,lds_ms,chunk2_ms,chunk4_ms,chunk8_ms,auto_ms,auto_speedup_vs_global,best_speedup_vs_global,auto_vs_best,max_abs_diff_auto
fp16,32,64,32,8,random,0,1,graph_global,global,0.009984099864959716,0.019412200152873992,0.01084420010447502,0.013852100074291229,0.0193122997879982,0.009748099744319916,1.024209859031994,1.0,1.024209859031994,0.0
fp16,32,64,32,8,random,1,1,graph_global,global,0.009556099772453308,0.019068199396133422,0.010856100171804429,0.013408200442790985,0.019360199570655823,0.009784100204706192,0.9766968420720779,1.0,0.9766968420720779,0.0
fp16,32,64,32,8,random,2,1,graph_global,global,0.009780099987983704,0.019172200560569765,0.010608100146055222,0.01358409970998764,0.019068199396133422,0.009512100368738174,1.0281745996001386,1.0,1.0281745996001386,0.0
fp16,32,64,32,8,contiguous,0,1,graph_global,global,0.009720099717378616,0.019140200316905977,0.010648100078105927,0.01355219930410385,0.01908019930124283,0.00958010032773018,1.0146135619522898,1.0,1.0146135619522898,0.0
fp16,32,64,32,8,contiguous,1,1,graph_global,global,0.009776099771261215,0.018980200588703155,0.01077210009098053,0.01339610069990158,0.019276200234889983,0.009548100084066391,1.0238790633934916,1.0,1.0238790633934916,0.0
fp16,32,64,32,8,contiguous,2,1,graph_global,global,0.009776099771261215,0.019212199747562407,0.010632099956274033,0.013548199832439423,0.019068199396133422,0.009588100016117096,1.0196076130649556,1.0,1.0196076130649556,0.0
fp16,32,64,32,8,page-cross,0,1,graph_global,global,0.009620100259780884,0.019096200168132783,0.01093209981918335,0.013548199832439423,0.01952019929885864,0.00986810028553009,0.9748685138402113,1.0,0.9748685138402113,0.0
fp16,32,64,32,8,page-cross,1,1,graph_global,global,0.009756100177764893,0.01942020058631897,0.010776100307703018,0.013776199519634246,0.019404199719429017,0.00973609983921051,1.0020542454252406,1.0,1.0020542454252406,0.0
fp16,32,64,32,8,page-cross,2,1,graph_global,global,0.009784100204706192,0.01937219947576523,0.010760200023651124,0.013536100089550019,0.01934420019388199,0.00976009964942932,1.0024590481797258,1.0,1.0024590481797258,0.0
fp16,32,64,32,8,tail-negative,0,1,graph_global,global,0.009968099743127823,0.019240200519561768,0.010912100225687027,0.013588100671768188,0.01950819939374924,0.00973210036754608,1.0242495829953353,1.0,1.0242495829953353,0.0
fp16,32,64,32,8,tail-negative,1,1,graph_global,global,0.009940099716186524,0.0194922000169754,0.010848099738359452,0.01376820057630539,0.01936420053243637,0.009708099812269212,1.0238975606353067,1.0,1.0238975606353067,0.0
fp16,32,64,32,8,tail-negative,2,1,graph_global,global,0.009892100095748901,0.0194242000579834,0.010760100185871124,0.013624100387096405,0.019512200355529787,0.009716100245714187,1.0181142480608254,1.0,1.0181142480608254,0.0
fp16,32,64,32,16,random,0,1,graph_global,chunk2,0.012332099676132201,0.031556299328804015,0.012052100151777267,0.014172199368476867,0.01982019990682602,0.012092100083827972,1.0198476352858843,1.023232425953052,0.996692060785686,0.0
fp16,32,64,32,16,random,1,1,graph_global,chunk2,0.012356200069189072,0.03144040107727051,0.01223210021853447,0.01419209986925125,0.020040200650691987,0.012116099894046783,1.0198166222829066,1.0101454246153545,1.0095740647157163,0.0
fp16,32,64,32,16,random,2,1,graph_global,chunk2,0.012340100109577179,0.031424298882484436,0.012216100096702575,0.01557610034942627,0.019856199622154236,0.013180099427700043,0.9362676038423903,1.0101505400162916,0.9268594796051787,0.0
fp16,32,64,32,16,contiguous,0,1,graph_global,global,0.012340100109577179,0.03138830065727234,0.012368100136518479,0.014092199504375458,0.01986420005559921,0.012112099677324295,1.018824187244738,1.0,1.018824187244738,0.0
fp16,32,64,32,16,contiguous,1,1,graph_global,chunk2,0.012304099649190903,0.0316644012928009,0.012060099840164184,0.014320099353790283,0.01981620043516159,0.012132100015878677,1.0141772350283225,1.020231989142753,0.9940653163409255,0.0
fp16,32,64,32,16,contiguous,2,1,graph_global,chunk2,0.012352100014686585,0.0315403014421463,0.012064100056886674,0.014160199463367463,0.02013619989156723,0.012104099988937378,1.0204889273862465,1.0238724775525638,0.9966953402493979,0.0
fp16,32,64,32,16,page-cross,0,1,graph_global,chunk2,0.012292099744081497,0.03138040006160736,0.012212099879980088,0.01509609967470169,0.019784200191497802,0.012140099704265595,1.0125204935312428,1.0065508688012417,1.0059307730140958,0.0
fp16,32,64,32,16,page-cross,1,1,graph_global,chunk2,0.012268099933862686,0.03138830065727234,0.012084200233221053,0.014308099448680878,0.01989219933748245,0.012144099920988083,1.0102107207352848,1.0152181937647862,0.9950675893514753,0.0
fp16,32,64,32,16,page-cross,2,1,graph_global,chunk2,0.012288100272417068,0.031380298733711245,0.012236099690198898,0.014152200520038604,0.020064200460910796,0.012064100056886674,1.0185675031269759,1.0042497677801547,1.0142571457880143,0.0
fp16,32,64,32,16,tail-negative,0,1,graph_global,chunk2,0.012288100272417068,0.032376301288604734,0.01204409971833229,0.014320200681686402,0.019860200583934784,0.012064100056886674,1.0185675031269759,1.0202589284206427,0.9983421607529717,0.0
fp16,32,64,32,16,tail-negative,1,1,graph_global,chunk2,0.01228410005569458,0.03164440095424652,0.012036199867725372,0.01432809978723526,0.019860200583934784,0.012048199772834778,1.0195797120987062,1.0205962173022687,0.999004008454735,0.0
fp16,32,64,32,16,tail-negative,2,1,graph_global,chunk2,0.012376099824905396,0.031428301334381105,0.012060199677944184,0.014360100030899048,0.01984419971704483,0.012076099961996078,1.0248424461418362,1.0261936083478729,0.9986833262309908,0.0
fp16,32,64,32,32,random,0,1,graph_global,chunk2,0.016776099801063538,0.055860602855682374,0.016256199777126314,0.016396200656890868,0.020756199955940247,0.01658809930086136,1.0113334564010246,1.0319816458375937,0.9799917086511647,0.0
fp16,32,64,32,32,random,1,1,graph_global,chunk2,0.01801619976758957,0.05553650259971619,0.0161081001162529,0.016280199587345123,0.020624199509620668,0.01660420000553131,1.0850387107832886,1.118455909608571,0.97012202399916,0.0
fp16,32,64,32,32,random,2,1,graph_global,chunk2,0.016640199720859526,0.05560460090637207,0.016168199479579926,0.016376200318336486,0.020652200281620025,0.01645209938287735,1.0114332118719112,1.0291931233206102,0.9827438494814288,0.0
fp16,32,64,32,32,contiguous,0,1,graph_global,chunk2,0.01676409989595413,0.0556846022605896,0.016300199925899504,0.01660809963941574,0.020972199738025665,0.016516099870204925,1.01501565307174,1.0284597717919726,0.98692790997862,0.0
fp16,32,64,32,32,contiguous,1,1,graph_global,chunk2,0.016748100519180298,0.055728602409362796,0.01634020060300827,0.01652020066976547,0.020896300673484802,0.016524200141429902,1.0135498466391137,1.0249629686980055,0.9888648444798062,0.0
fp16,32,64,32,32,contiguous,2,1,graph_global,chunk4,0.01655219942331314,0.05581269860267639,0.016492199897766114,0.016256199777126314,0.02100819945335388,0.016752199828624727,0.988061245247932,1.018208415881018,0.9703919451431752,0.0
fp16,32,64,32,32,page-cross,0,1,graph_global,chunk2,0.016904200613498687,0.05555260181427002,0.016192199289798738,0.01639219969511032,0.020728200674057007,0.016668200492858887,1.0141587042189053,1.0439718725638782,0.9714425559457315,0.0
fp16,32,64,32,32,page-cross,1,1,graph_global,chunk2,0.01677220016717911,0.05557259917259216,0.016196200251579286,0.016380199790000917,0.020700199902057646,0.016592200100421905,1.0108484749260362,1.0355638919408678,0.9761333731243664,0.0
fp16,32,64,32,32,page-cross,2,1,graph_global,chunk4,0.016612200438976286,0.05564060211181641,0.016420100629329682,0.016172100603580476,0.021024200320243835,0.01677220016717911,0.9904604210176361,1.0272135232264368,0.964220581818899,0.0
fp16,32,64,32,32,tail-negative,0,1,graph_global,chunk2,0.01652819961309433,0.05559260249137878,0.016456200182437895,0.017736199498176574,0.020652200281620025,0.0166922003030777,0.9901750106633257,1.0043752160193866,0.9858616529663684,0.0
fp16,32,64,32,32,tail-negative,1,1,graph_global,chunk2,0.016704200208187102,0.055964702367782594,0.016384199261665344,0.016452200710773468,0.02074420005083084,0.01652819961309433,1.0106485037216841,1.019531070234874,0.9912875960600753,0.0
fp16,32,64,32,32,tail-negative,2,1,graph_global,chunk4,0.016728200018405914,0.055612599849700926,0.017452199757099152,0.01612820029258728,0.020912200212478638,0.017868199944496156,0.9361995092045413,1.037201901944038,0.9026203166903313,0.0
fp16,32,64,64,8,random,0,1,graph_global,global,0.012800200283527375,0.027928298711776732,0.014128200709819794,0.018896199762821198,0.027792298793792726,0.01242009997367859,1.0306036433405783,1.0,1.0306036433405783,0.0
