dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,filter_ratio,transform_active_ratio,early_exit_ratio,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,capacity_scale,actual_work_size,work_capacity,capacity_actual_ratio,overflowed,persistent_blocks,metadata_builder,variant,worklist_builder,order,ticket_batch_size,gpu_kernel_ms,cpu_preprocess_ms,h2d_metadata_ms,gpu_preprocess_ms,gpu_metadata_ms,metadata_build_event_ms,worklist_build_ms,worklist_build_event_ms,level2_compute_ms,end_to_end_ms,speedup_vs_static_node,end_to_end_speedup_vs_static_node,max_abs_diff
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,exact,132,132,1.0,0,48,gpu,static_chunked,gpu,identity,0,0.015552200376987457,0.0,0.0,0.5934200016781688,0.20092600607313216,0.11680100113153458,0.3924939956050366,0.07722099870443344,0.015552200376987457,0.6089722020551562,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,1x,132,132,1.0,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.01525609940290451,0.0,0.0,0.27629101532511413,0.20092600607313216,0.11680100113153458,0.07536500925198197,0.044881001114845276,0.01525609940290451,0.29154711472801864,1.019408694598999,2.0887608598811216,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,1.25x,132,165,1.25,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.01771409958600998,0.0,0.0,0.26539003010839224,0.20092600607313216,0.11680100113153458,0.06446402403526008,0.03548000007867813,0.01771409958600998,0.28310412969440224,0.8779560203709185,2.1510537578964795,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,2x,132,264,2.0,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.01525609940290451,0.0,0.0,0.2668430097401142,0.20092600607313216,0.11680100113153458,0.06591700366698205,0.036959998309612274,0.01525609940290451,0.2820991091430187,1.019408694598999,2.1587172107885646,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,4x,132,528,4.0,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.015248100459575652,0.0,0.0,0.26629201602190733,0.20092600607313216,0.11680100113153458,0.06536600994877517,0.03576099872589111,0.015248100459575652,0.28154011648148297,1.0199434623491632,2.1630033036347367,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,8x,132,1056,8.0,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.015136100351810455,0.0,0.0,0.26632199296727777,0.20092600607313216,0.11680100113153458,0.06539598689414561,0.03748000040650368,0.015136100351810455,0.2814580933190882,1.0274905699292112,2.16363365101307,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,max,132,2048,15.515151515151516,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.015276099741458892,0.0,0.0,0.2646690118126571,0.20092600607313216,0.11680100113153458,0.06374300573952496,0.03587999939918518,0.015276099741458892,0.279945111554116,1.0180740267608515,2.1753271513635135,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,exact,132,132,1.0,0,48,gpu,persistent_chunked,gpu,identity,1,0.02436410039663315,0.0,0.0,0.5934200016781688,0.20092600607313216,0.11680100113153458,0.3924939956050366,0.07722099870443344,0.02436410039663315,0.6177841020748019,0.6383244250272667,0.985736279081881,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,exact,132,132,1.0,0,48,gpu,static_chunked,gpu,bucket,0,0.015048100054264069,0.0,0.0,0.29968502349220216,0.20092600607313216,0.11680100113153458,0.09875901741907,0.07093100249767303,0.015048100054264069,0.3147331235464662,1.0334992670772776,1.9348843718549678,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,690,21.5625,36.80000000000001,77,32,1x,132,132,1.0,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.015160100162029266,0.0,0.0,0.26432800223119557,0.20092600607313216,0.11680100113153458,0.06340199615806341,0.035760000348091125,0.015160100162029266,0.27948810239322486,1.0258639593912622,2.1788841701689496,0.0
