mode,launch_mode,strategy,classes,traces,actual_min,actual_p50,actual_p90,actual_max,total_actual_blocks,total_capacity_blocks,empty_blocks,empty_block_fraction,capacity_actual_ratio_p50,capacity_actual_ratio_p90,capacity_actual_ratio_p99,capacity_actual_ratio_max,overflow,launch_count,metadata_setup_ms,event_ms,wall_ms,per_trace_event_us,per_trace_wall_us
paged_kv_full,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,2,56.79240298923105,47.86362075805664,47.798361328508086,4.011366137953121,4.00589685957996
paged_kv_full_producer,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,1,56.79240298923105,47.986366271972656,47.56205033239288,4.021653224268577,3.9860920493121754
paged_kv_full_reduce,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,1,56.79240298923105,0.6789669990539551,0.7158853307676812,0.05690303377924531,0.05999709443242384
paged_kv_full_reduce_ml,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,1,56.79240298923105,0.2545219957828522,0.2983600037017216,0.021331042221157573,0.025005028805038687
paged_kv_full,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,7,56.79240298923105,45.84926223754883,45.64691699730853,3.8425462820607468,3.8255880822417474
paged_kv_full_producer,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,6,56.79240298923105,44.73241424560547,44.79023133171722,3.7489452099904015,3.75379075860855
paged_kv_full_reduce,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,1,56.79240298923105,0.675046980381012,0.7328346740299215,0.05657450388711129,0.061417589174482194
paged_kv_full_reduce_ml,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,1,56.79240298923105,0.15580099821090698,0.19094700110144913,0.013057408499070314,0.016002933380946122
paged_kv_full,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,3,56.79240298923105,48.778175354003906,48.76664500140274,4.088013355179677,4.087047016543978
paged_kv_full_producer,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,2,56.79240298923105,48.026329040527344,48.117016665249444,4.025002433835681,4.032602804663882
paged_kv_full_reduce,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,1,56.79240298923105,0.6748470067977905,0.7406966663741817,0.05655774445170889,0.06207648896867095
paged_kv_full_reduce_ml,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,1,56.79240298923105,0.15780100226402283,0.18939732884367308,0.013225025332217803,0.0158730580660135
