traces,effective_row_order,event_ms,scheduler_metrics_ms,scheduler_row_order_key_ms,scheduler_group_build_ms,scheduler_group_h2d_ms,scheduler_setup_ms,restore_event_ms,online_e2e_ms,first_page_unique_ratio,first_page_unique_w128_p50,path
2048,original,14.7982397079,0.111694991589,0.0420010089874,0.118438005447,0.0946120023727,0.367235958576,0.0140000004321,15.179475667,0.625,128,prof/phase5_scheduler_scale_2048.csv
32768,first-page,94.4186019897,1.71068203449,0.459534049034,3.66065400839,10.9230980277,16.7545989752,0.0357199981809,111.208920963,0.078125,128,prof/phase5_scheduler_scale_32768.csv
512,original,4.10003995895,0.0349569916725,0.0142470002174,0.0231550335884,0.0810059905052,0.153846025467,0.0131599996239,4.26704598404,1,128,prof/phase5_scheduler_scale_512.csv
8192,first-page,39.9417381287,0.3850710392,0.122034966946,0.757968008518,9.78925603628,11.0548110008,0.0174000002444,51.0139491297,0.15625,128,prof/phase5_scheduler_scale_8192.csv
114820,first-page,337.380462646,6.63538599014,4.15302997828,14.4036329985,11.0899670124,36.2824469805,0.0616400018334,373.724549629,0.0667131161818,128,prof/phase5_scheduler_auto_first_page_explicit_copy_reusebuf.csv
