mode,launch_mode,strategy,classes,traces,actual_min,actual_p50,actual_p90,actual_max,total_actual_blocks,total_capacity_blocks,empty_blocks,empty_block_fraction,capacity_actual_ratio_p50,capacity_actual_ratio_p90,capacity_actual_ratio_p99,capacity_actual_ratio_max,overflow,launch_count,metadata_setup_ms,event_ms,wall_ms,per_trace_event_us,per_trace_wall_us
paged_kv_dot,fused,exact_work_sim,6 8 10 12 18 20 34 36 66 68 130 132,11932,6,20.0,130.0,132,532586,532586,0,0.0,1.0,1.0,1.0,1.0,0,12,55.97450700588524,23.18192481994629,23.271848598960787,1.942836475020641,1.950372829279315
paged_kv_dot,fused,round64_class,64 192,11932,6,20.0,130.0,132,532586,1262592,730006,0.5781804415044607,3.2,8.0,10.666666666666666,10.666666666666666,0,2,55.97450700588524,23.898862838745117,24.09019399783574,2.0029217933913106,2.018956922379797
paged_kv_dot,fused,capacity_class,8 12 20 36 68 132,11932,6,20.0,130.0,132,532586,544792,12206,0.022404881128944624,1.0153846153846153,1.2,1.3333333333333333,1.3333333333333333,0,6,55.97450700588524,25.934160232543945,25.56687079486437,2.1734964995427375,2.142714615727822
paged_kv_dot,fused,single_max,132,11932,6,20.0,130.0,132,532586,1575024,1042438,0.6618553114111277,6.6,16.5,22.0,22.0,0,1,55.97450700588524,25.83036231994629,25.912462000269443,2.164797378473541,2.171678008738639
