dtype,tasks,tile_tokens,dim,num_transforms,samples,patterns,seeds,lds_fits,policy,best_variant,global_ms,lds_ms,chunk2_ms,chunk4_ms,chunk8_ms,auto_ms,auto_speedup_vs_global,best_speedup_vs_global,auto_vs_best,max_abs_diff_auto
bf16,32,64,32,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.00921409986913204,0.016026200354099275,0.010004150122404099,0.01177610009908676,0.01605620011687279,0.009070099890232086,1.01587633881023,1.0,1.01587633881023,0.0
bf16,32,64,32,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=2),chunk2,0.011244149878621101,0.024752249568700792,0.0109181497246027,0.012146149948239326,0.016420149803161622,0.01073014996945858,1.0479023975084718,1.0298585531652678,1.0175207015446406,0.0
bf16,32,64,32,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),chunk4,0.014772149920463561,0.042530499398708344,0.014334100484848022,0.013560149818658829,0.016908200085163118,0.013580200076103211,1.0877711548932036,1.0893795509646225,0.9985235668596912,0.0
bf16,32,64,64,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.011334149911999703,0.021004199981689453,0.012136150151491165,0.015050149708986282,0.021070250123739243,0.011080149933695792,1.022923875563405,1.0,1.022923875563405,0.0
bf16,32,64,64,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=2),chunk2,0.014490149915218353,0.03400435000658035,0.01378215029835701,0.0158221498131752,0.02163430005311966,0.013750199973583222,1.0538137585676366,1.0513707659207392,1.0023236261898132,0.0
bf16,32,64,64,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),chunk4,0.020460250228643416,0.0600506991147995,0.01923620030283928,0.018236199766397475,0.022768300026655197,0.018118199706077576,1.1292650793434085,1.1219580006106338,1.0065127916809702,0.0
bf16,32,64,128,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.015224200487136842,0.03073035031557083,0.016754199564456937,0.02139829993247986,0.03072440028190613,0.015054149925708771,1.0112959258588003,1.0,1.0112959258588003,0.0
bf16,32,64,128,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=2),chunk2,0.020786250382661818,0.05153259932994843,0.019776249676942824,0.022650299966335295,0.032140299677848816,0.019700250029563902,1.0551262218229804,1.051071397368964,1.0038578011581005,0.0
bf16,32,64,128,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),chunk4,0.032100400328636175,0.0967651516199112,0.029918350279331207,0.027412299811840055,0.034362399578094484,0.02719835042953491,1.1802333531881437,1.1710217876272904,1.0078662631713435,0.0
bf16,32,128,32,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.011216150224208831,0.021020249277353287,0.012158099934458731,0.01515820026397705,0.021076250076293948,0.011078099906444549,1.0124615519746283,1.0,1.0124615519746283,0.0
bf16,32,128,32,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=2),chunk2,0.014486149698495866,0.033820399641990656,0.013690149784088135,0.015702199935913087,0.021580249816179273,0.013700149953365326,1.057371616209023,1.0581439887044122,0.9992700686261661,0.0
bf16,32,128,32,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),chunk4,0.020520249754190444,0.0593346506357193,0.019220250099897383,0.018138200044631958,0.022794299572706223,0.018028200417757035,1.1382306208432675,1.131327789069316,1.0061015311748243,0.0
bf16,32,128,64,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.015234100073575974,0.03097839951515198,0.016794199496507643,0.021528299897909164,0.030892349779605865,0.015084150433540344,1.0099408740781457,1.0,1.0099408740781457,0.0
bf16,32,128,64,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=2),chunk2,0.021010249853134155,0.05152254998683929,0.019618199765682222,0.02267630025744438,0.03206835091114044,0.019602300226688386,1.0718257352537053,1.070957075780573,1.000811105778912,0.0
bf16,32,128,64,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),chunk4,0.03216034919023514,0.09682309925556183,0.029690350592136382,0.027322299778461456,0.0341843992471695,0.02711829990148544,1.1859279271586458,1.1770732863266358,1.0075225909336905,0.0
bf16,32,128,128,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.022994250059127808,0.05043855011463165,0.025984300673007964,0.03415639996528626,0.05038660168647766,0.02277419939637184,1.0096622787447371,1.0,1.0096622787447371,0.0
bf16,32,128,128,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=2),global,0.034076400101184845,0.08669705092906951,0.04486050009727478,0.03627240061759949,0.053034701943397516,0.04478050023317337,0.7609651505398116,1.0,0.7609651505398116,0.0
bf16,32,128,128,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),global,0.05513260066509247,0.16248779892921447,0.0806428998708725,0.06530469954013825,0.05677470266819,0.06546469926834106,0.8421729769062695,1.0,0.8421729769062695,0.0
bf16,32,256,32,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.015020200610160827,0.030854350328445433,0.016642199456691743,0.02138420045375824,0.030784350633621213,0.014838150143623352,1.012269081036069,1.0,1.012269081036069,0.0
