dtype,tasks,tile_tokens,dim,num_transforms,samples,patterns,seeds,lds_fits,policy,best_variant,global_ms,lds_ms,chunk2_ms,chunk4_ms,chunk8_ms,auto_ms,auto_speedup_vs_global,best_speedup_vs_global,auto_vs_best,max_abs_diff_auto
bf16,32,64,32,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.009332149848341941,0.016116199642419816,0.009848099946975709,0.011972099915146826,0.01606220006942749,0.009040150046348571,1.0323003269300064,1.0,1.0323003269300064,0.0
bf16,32,64,32,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=2),chunk2,0.011252149939537048,0.024938349425792695,0.01066409982740879,0.01220410019159317,0.016272200644016264,0.01066415011882782,1.055137991697163,1.055142967680859,0.9999952840668531,0.0
bf16,32,64,32,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),chunk4,0.014814149588346481,0.042522549629211426,0.014260150492191315,0.013564100116491317,0.01697624996304512,0.01356614977121353,1.091993663506585,1.0921586733450417,0.9998489140429098,0.0
bf16,32,64,64,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.0112720999866724,0.02113429978489876,0.012090149894356727,0.015220200270414354,0.02105024978518486,0.011094200238585473,1.0160353828361772,1.0,1.0160353828361772,0.0
bf16,32,64,64,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=2),chunk2,0.014490199834108354,0.034130400419235235,0.013732200115919115,0.015764199942350385,0.021616250276565552,0.013704200088977814,1.0573546606169821,1.0551987090044315,1.0020431712000337,0.0
bf16,32,64,64,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),chunk4,0.020486249774694446,0.06011469960212708,0.019266200065612794,0.018236249685287476,0.022824300080537797,0.018142250180244446,1.1292011504175177,1.1233806362731593,1.005181248417872,0.0
bf16,32,64,128,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.015294200181961058,0.030882400274276734,0.016822199523448943,0.02155029997229576,0.030826400220394134,0.015052200108766556,1.0160773887834216,1.0,1.0160773887834216,0.0
bf16,32,64,128,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=2),chunk2,0.021000249683856963,0.05176064968109131,0.01976424977183342,0.02281629964709282,0.03229639977216721,0.01973225027322769,1.064260253801345,1.062537153005676,1.0016216852190014,0.0
bf16,32,64,128,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),chunk4,0.03198640048503876,0.0967732012271881,0.029880398511886598,0.02745635062456131,0.034358400106430056,0.02721029967069626,1.1755254764608878,1.1649909677517394,1.0090425668530962,0.0
bf16,32,128,32,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.011282150074839592,0.021082300692796707,0.012124199792742728,0.015202200412750244,0.020968250185251235,0.011038149893283843,1.0221051701521295,1.0,1.0221051701521295,0.0
bf16,32,128,32,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=2),chunk2,0.014526150375604629,0.03379839956760407,0.013676199316978454,0.015830200165510178,0.021614250540733335,0.013696200400590896,1.0605970963288422,1.062148191827754,0.9985396618750132,0.0
bf16,32,128,32,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),chunk4,0.02053230032324791,0.059342801570892334,0.01909625008702278,0.018112249672412872,0.022762300074100496,0.017976199835538866,1.1421935954814904,1.1336140288812973,1.0075683313558317,0.0
bf16,32,128,64,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.015210200101137161,0.030958400666713716,0.01680620014667511,0.02136630043387413,0.030938398838043214,0.01504419967532158,1.0110341812391581,1.0,1.0110341812391581,0.0
bf16,32,128,64,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=2),chunk2,0.02094225063920021,0.051822698116302496,0.01970224976539612,0.02268030047416687,0.03221440017223358,0.019630300253629683,1.066832925050545,1.0629370193033465,1.0036652272678883,0.0
bf16,32,128,64,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),chunk4,0.0321263998746872,0.09690524935722351,0.02994235008955002,0.02747035026550293,0.03446450084447861,0.02724435031414032,1.1791949341516508,1.1694936382020327,1.0082952960432796,0.0
bf16,32,128,128,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.02299025058746338,0.05054264962673187,0.02598630040884018,0.034144450724124906,0.050450649857521054,0.02279829978942871,1.0084195224998171,1.0,1.0084195224998171,0.0
bf16,32,128,128,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.03416839987039566,0.08688915073871613,0.04507260024547577,0.036530449986457825,0.05319865047931671,0.03386240005493164,1.0090365660723286,1.0,1.0090365660723286,0.0
bf16,32,128,128,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.05515669882297516,0.16319209933280945,0.08077504932880403,0.06560879945755005,0.05701069831848145,0.05487470030784607,1.0051389531705337,1.0,1.0051389531705337,0.0
