mode,launch_mode,strategy,classes,traces,actual_min,actual_p50,actual_p90,actual_max,total_actual_blocks,total_capacity_blocks,empty_blocks,empty_block_fraction,capacity_actual_ratio_p50,capacity_actual_ratio_p90,capacity_actual_ratio_p99,capacity_actual_ratio_max,overflow,launch_count,metadata_setup_ms,event_ms,wall_ms,per_trace_event_us,per_trace_wall_us
paged_kv_full,fused,single_max,528,11932,18,80.0,520.0,528,2093890,6300096,4206206,0.6676415724458802,6.6,20.307692307692307,29.33333333333333,29.333333333333332,0,2,58.756346988957375,123.0136489868164,123.33197633658226,10.309558245626585,10.33623670269714
paged_kv_full_producer,fused,single_max,528,11932,18,80.0,520.0,528,2093890,6300096,4206206,0.6676415724458802,6.6,20.307692307692307,29.33333333333333,29.333333333333332,0,1,58.756346988957375,122.96932983398438,123.03633499929371,10.305843935131108,10.311459520557635
paged_kv_full_reduce,fused,single_max,528,11932,18,80.0,520.0,528,2093890,6300096,4206206,0.6676415724458802,6.6,20.307692307692307,29.33333333333333,29.333333333333332,0,1,58.756346988957375,1.2321330308914185,1.3172879989724606,0.10326290905895227,0.11039959763429942
paged_kv_full_reduce_ml,fused,single_max,528,11932,18,80.0,520.0,528,2093890,6300096,4206206,0.6676415724458802,6.6,20.307692307692307,29.33333333333333,29.333333333333332,0,1,58.756346988957375,0.1880819946527481,0.2844700065907091,0.01576282221360611,0.023840932500059427
paged_kv_full,fused,capacity_class,28 48 80 144 272 528,11932,18,80.0,520.0,528,2093890,2180452,86562,0.03969910825828773,1.0526315789473684,1.4,1.6,1.6,0,7,58.756346988957375,115.72533416748047,115.81377699621953,9.698737358990988,9.70614959740358
paged_kv_full_producer,fused,capacity_class,28 48 80 144 272 528,11932,18,80.0,520.0,528,2093890,2180452,86562,0.03969910825828773,1.0526315789473684,1.4,1.6,1.6,0,6,58.756346988957375,114.02397155761719,114.1140376663922,9.556149141603854,9.563697424270215
paged_kv_full_reduce,fused,capacity_class,28 48 80 144 272 528,11932,18,80.0,520.0,528,2093890,2180452,86562,0.03969910825828773,1.0526315789473684,1.4,1.6,1.6,0,1,58.756346988957375,1.1155320405960083,1.1717046630413581,0.09349078449513981,0.09819851349659388
paged_kv_full_reduce_ml,fused,capacity_class,28 48 80 144 272 528,11932,18,80.0,520.0,528,2093890,2180452,86562,0.03969910825828773,1.0526315789473684,1.4,1.6,1.6,0,1,58.756346988957375,0.2406419962644577,0.2817413381611307,0.02016778379688717,0.02361224758306493
paged_kv_full,fused,round64_class,128 576,11932,18,80.0,520.0,528,2093890,4176768,2082878,0.4986817558456682,2.6666666666666665,4.923076923076923,7.111111111111111,7.111111111111111,0,3,58.756346988957375,119.65282440185547,119.76067699530783,10.02789342958896,10.036932366351646
paged_kv_full_producer,fused,round64_class,128 576,11932,18,80.0,520.0,528,2093890,4176768,2082878,0.4986817558456682,2.6666666666666665,4.923076923076923,7.111111111111111,7.111111111111111,0,2,58.756346988957375,117.7369613647461,118.01096200360917,9.867328307471178,9.890291820617596
paged_kv_full_reduce,fused,round64_class,128 576,11932,18,80.0,520.0,528,2093890,4176768,2082878,0.4986817558456682,2.6666666666666665,4.923076923076923,7.111111111111111,7.111111111111111,0,1,58.756346988957375,1.2345730066299438,1.3120743387844414,0.10346739914766542,0.10996264991488781
paged_kv_full_reduce_ml,fused,round64_class,128 576,11932,18,80.0,520.0,528,2093890,4176768,2082878,0.4986817558456682,2.6666666666666665,4.923076923076923,7.111111111111111,7.111111111111111,0,1,58.756346988957375,0.18976199626922607,0.27308833280888695,0.015903620203589177,0.02288705437553528
