mode,launch_mode,strategy,classes,traces,actual_min,actual_p50,actual_p90,actual_max,total_actual_blocks,total_capacity_blocks,empty_blocks,empty_block_fraction,capacity_actual_ratio_p50,capacity_actual_ratio_p90,capacity_actual_ratio_p99,capacity_actual_ratio_max,overflow,launch_count,metadata_setup_ms,event_ms,wall_ms,per_trace_event_us,per_trace_wall_us
paged_kv_full_producer,fused,single_max,6,8,6,6.0,6.0,6,48,48,0,0.0,1.0,1.0,1.0,1.0,0,1,2.8898229938931763,0.044759999960660934,0.10507201659493148,5.594999995082617,13.134002074366435
paged_kv_full_reduce,fused,single_max,6,8,6,6.0,6.0,6,48,48,0,0.0,1.0,1.0,1.0,1.0,0,1,2.8898229938931763,0.02324100024998188,0.05277199670672417,2.905125031247735,6.596499588340521
paged_kv_full_reduce_ml,fused,single_max,6,8,6,6.0,6.0,6,48,48,0,0.0,1.0,1.0,1.0,1.0,0,1,2.8898229938931763,0.026040000841021538,0.054845993872731924,3.2550001051276922,6.8557492340914905
paged_kv_full_producer,fused,capacity_class,8,8,6,6.0,6.0,6,48,64,16,0.25,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0,1,2.8898229938931763,0.035280000418424606,0.06649800343438983,4.410000052303076,8.312250429298729
paged_kv_full_reduce,fused,capacity_class,8,8,6,6.0,6.0,6,48,64,16,0.25,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0,1,2.8898229938931763,0.01979999989271164,0.04834300489164889,2.474999986588955,6.042875611456111
paged_kv_full_reduce_ml,fused,capacity_class,8,8,6,6.0,6.0,6,48,64,16,0.25,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0,1,2.8898229938931763,0.015479999594390392,0.0424120225943625,1.934999949298799,5.301502824295312
paged_kv_full_producer,fused,round64_class,64,8,6,6.0,6.0,6,48,512,464,0.90625,10.666666666666666,10.666666666666666,10.666666666666666,10.666666666666666,0,1,2.8898229938931763,0.04323999956250191,0.07330102380365133,5.404999945312738,9.162627975456417
paged_kv_full_reduce,fused,round64_class,64,8,6,6.0,6.0,6,48,512,464,0.90625,10.666666666666666,10.666666666666666,10.666666666666666,10.666666666666666,0,1,2.8898229938931763,0.01964000053703785,0.046509987441822886,2.455000067129731,5.813748430227861
paged_kv_full_reduce_ml,fused,round64_class,64,8,6,6.0,6.0,6,48,512,464,0.90625,10.666666666666666,10.666666666666666,10.666666666666666,10.666666666666666,0,1,2.8898229938931763,0.012480000033974648,0.03862401354126632,1.560000004246831,4.82800169265829
