dtype,tasks,tile_tokens,dim,num_transforms,pattern,seed,lds_fits,policy,best_variant,global_ms,lds_ms,chunk2_ms,chunk4_ms,chunk8_ms,auto_ms,auto_speedup_vs_global,best_speedup_vs_global,auto_vs_best,max_abs_diff_auto
fp16,32,64,32,8,random,0,1,graph_global,global,0.011631999909877778,0.020840199291706087,0.012120000272989272,0.015232199430465698,0.020576199889183043,0.013280199468135833,0.8758904516296835,1.0,0.8758904516296835,0.0
fp16,32,64,32,8,random,1,1,graph_global,global,0.010864199697971344,0.02048819959163666,0.012055999785661697,0.014679999649524688,0.02052820026874542,0.010760200023651124,1.009665217569527,1.0,1.009665217569527,0.0
fp16,32,64,32,8,contiguous,0,1,graph_global,global,0.011168000102043153,0.020896199345588683,0.011952199786901475,0.01504019945859909,0.02037599980831146,0.010824000090360641,1.0317812277171785,1.0,1.0317812277171785,0.0
fp16,32,64,32,8,contiguous,1,1,graph_global,global,0.010704199969768523,0.020496200025081634,0.011776000261306763,0.014839999377727509,0.020368200540542603,0.010736200213432311,0.997019406957058,1.0,0.997019406957058,0.0
fp16,32,64,32,8,page-cross,0,1,graph_global,global,0.010735999792814255,0.020504200458526613,0.011768200248479844,0.014872199296951294,0.020248199999332427,0.010664000362157821,1.006751634303383,1.0,1.006751634303383,0.0
fp16,32,64,32,8,page-cross,1,1,graph_global,global,0.010640200227499008,0.020503999292850496,0.01180799975991249,0.014888200163841247,0.02022420018911362,0.010680200159549713,0.9962547582017984,1.0,0.9962547582017984,0.0
fp16,32,64,32,8,tail-negative,0,1,graph_global,global,0.010952000319957734,0.02069620043039322,0.01244020015001297,0.014840200543403625,0.020927999913692475,0.011392000317573547,0.9613764057803739,1.0,0.9613764057803739,0.0
fp16,32,64,32,8,tail-negative,1,1,graph_global,global,0.011320000141859054,0.020688000321388244,0.012127999961376191,0.015104199945926666,0.020448200404644012,0.010847999900579452,1.0435103471243938,1.0,1.0435103471243938,0.0
