dtype,tasks,num_transforms,policy,best_variant,global_ms,lds_ms,chunk2_ms,chunk4_ms,chunk8_ms,auto_ms,auto_speedup_vs_global,best_speedup_vs_global,auto_vs_best,max_abs_diff_auto
fp16,32,8,graph_global,global,0.017307260036468507,0.04372176170349121,0.01990887999534607,0.027702500820159914,0.04372337818145752,0.01706485986709595,1.0142046387289676,1.0,1.0142046387289676,0.0
fp16,32,16,graph_global,global,0.024165680408477785,0.07789949893951416,0.02458087921142578,0.02954332113265991,0.04623218059539795,0.02469208002090454,0.978681439069487,1.0,0.978681439069487,0.0
fp16,32,32,graph_global,chunk2,0.04046656131744385,0.1560237979888916,0.03769854068756104,0.03890095949172974,0.0520226001739502,0.04212495803833008,0.9606314926325331,1.073425140055783,0.8949217386343417,0.0
fp16,128,8,graph_lds_chunked(chunk=4),chunk2,0.0430625581741333,0.0539122200012207,0.041754560470581056,0.041948161125183105,0.05405139923095703,0.04105775833129883,1.0488287701110606,1.0313258644998506,1.0169712660311279,0.0
fp16,128,16,graph_lds_chunked(chunk=4),chunk4,0.07523228168487549,0.10065478324890137,0.07169867992401123,0.06780265808105469,0.07308586120605469,0.06750105857849122,1.1145348424039052,1.1095771731388326,1.0044680707075544,0.0
fp16,128,32,graph_lds_chunked(chunk=8),chunk8,0.14458773612976075,0.1890559196472168,0.12825087547302247,0.1252436637878418,0.12145646095275879,0.12268365859985352,1.178541117699708,1.1904491123448675,0.989997056974822,0.0
fp16,256,8,graph_lds_chunked(chunk=4),chunk4,0.07442667961120605,0.0715690803527832,0.07056985855102539,0.06635225772857666,0.07142027854919433,0.06511226177215576,1.1430516708457126,1.1216902357062057,1.0190439699477796,0.0
fp16,256,16,graph_lds_chunked(chunk=8),chunk8,0.13968934059143068,0.1344493007659912,0.12739487648010253,0.119756441116333,0.11905163764953614,0.11894444465637206,1.1744082793861468,1.1733508530361234,1.0009012021828656,0.0
fp16,256,32,graph_lds_chunked(chunk=8),chunk8,0.26857622146606447,0.2464057159423828,0.23767929077148436,0.2133104133605957,0.20993600845336913,0.20904239654541015,1.2847930654474764,1.279324225723385,1.0042747879029643,0.0
bf16,32,8,graph_global,global,0.014833639860153198,0.03103692054748535,0.015964059829711913,0.020368061065673827,0.029956920146942137,0.013986459970474242,1.0605714306169949,1.0,1.0605714306169949,0.0
bf16,32,16,graph_lds_chunked(chunk=2),chunk2,0.019428880214691163,0.0504617977142334,0.018684060573577882,0.021516079902648925,0.031060121059417724,0.018657679557800292,1.0413342213591856,1.0398639063591224,1.0014139494515308,0.0
bf16,32,32,graph_lds_chunked(chunk=4),chunk4,0.030219318866729735,0.09563956260681153,0.028398520946502685,0.02614409923553467,0.03323853969573975,0.026513700485229493,1.1397623988233783,1.155875312225563,0.9860599900077801,0.0
bf16,128,8,graph_lds_chunked(chunk=4),chunk4,0.03086172103881836,0.03312171936035156,0.028887300491333007,0.02629689931869507,0.033847339153289795,0.026575300693511963,1.1612933902325657,1.1735878312040406,0.9895240555120093,0.0
bf16,128,16,graph_lds_chunked(chunk=4),chunk8,0.0540322208404541,0.05780101776123047,0.04941619873046875,0.0429417610168457,0.04228576183319092,0.042952961921691894,1.2579393462774686,1.277787569574853,0.9844667268879534,0.0
bf16,128,32,graph_lds_chunked(chunk=8),chunk8,0.10032278060913086,0.11027161598205566,0.08522192001342774,0.0766290807723999,0.07184586048126221,0.07033226013183594,1.426412010947444,1.396361320431197,1.0215207124950778,0.0
bf16,256,8,graph_lds_chunked(chunk=8),chunk8,0.05685379981994629,0.04148655891418457,0.048749780654907225,0.04230576038360596,0.041454558372497556,0.04146815776824951,1.371023042250431,1.371472813896026,0.9996720520880634,0.0
bf16,256,16,graph_lds_chunked(chunk=8),chunk8,0.09957878112792969,0.0727530813217163,0.0870643424987793,0.07633389949798584,0.07016508102416992,0.06967065811157226,1.429278606331834,1.4192070995204518,1.007096573019389,0.0
bf16,256,32,graph_lds_chunked(chunk=8),chunk8,0.1904439163208008,0.13711812019348144,0.1636334228515625,0.13766612052917482,0.13085328102111815,0.12754768371582031,1.493119363461864,1.4554003906869208,1.0259165608421617,0.0
