mode,launch_mode,strategy,classes,traces,actual_min,actual_p50,actual_p90,actual_max,total_actual_blocks,total_capacity_blocks,empty_blocks,empty_block_fraction,capacity_actual_ratio_p50,capacity_actual_ratio_p90,capacity_actual_ratio_p99,capacity_actual_ratio_max,overflow,launch_count,metadata_setup_ms,event_ms,wall_ms,per_trace_event_us,per_trace_wall_us
paged_kv_attn,fused,single_max,6,8,6,6.0,6.0,6,48,48,0,0.0,1.0,1.0,1.0,1.0,0,1,2.9523110133595765,0.046220000833272934,0.10862798080779612,5.777500104159117,13.578497600974515
paged_kv_attn,fused,capacity_class,8,8,6,6.0,6.0,6,48,64,16,0.25,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0,1,2.9523110133595765,0.0270409993827343,0.06138798198662698,3.3801249228417873,7.673497748328373
paged_kv_attn,fused,round64_class,64,8,6,6.0,6.0,6,48,512,464,0.90625,10.666666666666666,10.666666666666666,10.666666666666666,10.666666666666666,0,1,2.9523110133595765,0.028920000419020653,0.061277998611330986,3.6150000523775816,7.659749826416373
