dtype,tasks,tile_tokens,dim,num_transforms,lds_fits,policy,best_variant,global_ms,lds_ms,chunk2_ms,chunk4_ms,chunk8_ms,auto_ms,auto_speedup_vs_global,best_speedup_vs_global,auto_vs_best,max_abs_diff_auto
fp16,32,64,32,8,1,graph_global,global,0.007920049875974656,0.017218150198459625,0.008846049755811691,0.011550100147724151,0.01718209981918335,0.00777605026960373,1.0185183481817004,1.0,1.0185183481817004,0.0
fp16,32,64,32,16,1,graph_global,global,0.009920100122690201,0.029252201318740845,0.0099481001496315,0.011994049698114396,0.017688100039958955,0.009878099709749222,1.0042518717339455,1.0,1.0042518717339455,0.0
fp16,32,64,32,32,1,graph_global,chunk2,0.014356100559234619,0.05348834991455078,0.014152100682258606,0.014186100661754608,0.018752099573612215,0.014218099415302277,1.0097060190607345,1.0144148124406542,0.9953581184716828,0.0
fp16,32,64,64,8,1,graph_global,global,0.010506100207567214,0.025592198967933653,0.01204409971833229,0.01661610007286072,0.025714200735092164,0.010468100011348725,1.0036300948765575,1.0,1.0036300948765575,0.0
fp16,32,64,64,16,1,graph_global,global,0.01432809978723526,0.045222300291061404,0.01440809965133667,0.01749410033226013,0.02651219964027405,0.014288100600242614,1.002799475459458,1.0,1.002799475459458,0.0
fp16,32,64,64,32,1,graph_global,chunk2,0.02200614959001541,0.08760259747505188,0.02116615027189255,0.02145015001296997,0.02834019958972931,0.02206214964389801,0.9974617136232647,1.0396859753584162,0.9593874855139839,0.0
fp16,32,64,128,8,1,graph_global,global,0.01632409989833832,0.042294299602508544,0.018728099763393402,0.0265502005815506,0.0420863002538681,0.016284149885177613,1.0024533066474086,1.0,1.0024533066474086,0.0
fp16,32,64,128,16,1,graph_global,global,0.023406149446964265,0.0762745499610901,0.023606149852275847,0.028314200043678284,0.04480029940605164,0.023398199677467348,1.000339759879243,1.0,1.000339759879243,0.0
fp16,32,64,128,32,1,graph_global,chunk2,0.038206300139427184,0.15342110395431519,0.037368249893188474,0.03815430104732513,0.04939835071563721,0.038202300667762756,1.0001046919058412,1.0224267994523197,0.9781675249920719,0.0
fp16,32,128,32,8,1,graph_global,global,0.010730099678039551,0.026478201150894165,0.01236405000090599,0.017072150111198427,0.026374149322509765,0.010644099861383437,1.0080795762700536,1.0,1.0080795762700536,0.0
fp16,32,128,32,16,1,graph_global,chunk2,0.01467210054397583,0.045662298798561096,0.014512099325656891,0.017538100481033325,0.02712019979953766,0.014506100118160248,1.0114434909771348,1.0110253668148523,1.000413564462383,0.0
fp16,32,128,32,32,1,graph_global,chunk2,0.022358199954032897,0.08780465126037598,0.021338149905204773,0.021438150107860564,0.02817220091819763,0.022272150218486785,1.0038635576135206,1.047804052992397,0.9580642055607745,0.0
fp16,32,128,64,8,1,graph_global,global,0.015616099536418914,0.042434298992156984,0.018696150183677672,0.026648199558258055,0.04198830127716065,0.01570210009813309,0.994522989843607,1.0,0.994522989843607,0.0
fp16,32,128,64,16,1,graph_global,global,0.022706200182437897,0.07626054883003235,0.02317814975976944,0.02818419933319092,0.044348299503326416,0.02300014942884445,0.9872196810148585,1.0,0.9872196810148585,0.0
fp16,32,128,64,32,1,graph_global,chunk4,0.03842029869556427,0.15150710344314575,0.03691030144691467,0.03688024878501892,0.048348349332809445,0.038272300362586976,1.0038669829504674,1.0417581215225133,0.9636277003373215,0.0
fp16,32,128,128,8,1,graph_global,global,0.02797020077705383,0.07859054803848267,0.0326262503862381,0.047210299968719484,0.07669655084609986,0.027914199233055114,1.0020062027762704,1.0,1.0020062027762704,0.0
fp16,32,128,128,16,1,graph_global,global,0.040630298852920535,0.14583104848861694,0.05796844959259033,0.050022351741790774,0.08442260026931762,0.04077824950218201,0.9963718244145434,1.0,0.9963718244145434,0.0
fp16,32,128,128,32,1,graph_global,global,0.06972450017929077,0.2786319494247437,0.10861074924468994,0.09847670197486877,0.09166064858436584,0.07156649827957154,0.9742617265821072,1.0,0.9742617265821072,0.0
fp16,32,256,32,8,1,graph_global,global,0.01584015041589737,0.04296030104160309,0.018708150088787078,0.026388150453567506,0.042302298545837405,0.015730150043964386,1.0069929639339448,1.0,1.0069929639339448,0.0
fp16,32,256,32,16,1,graph_global,global,0.022690150141716003,0.07722455263137817,0.023274150490760804,0.02831819951534271,0.044506299495697024,0.02262814939022064,1.002739983302486,1.0,1.002739983302486,0.0
fp16,32,256,32,32,1,graph_global,chunk2,0.037796249985694884,0.1500150442123413,0.0358302503824234,0.03662824928760529,0.04840235114097595,0.03757829964160919,1.0057998990418493,1.0548698259791092,0.9534824812230132,0.0
fp16,32,256,64,8,1,graph_global,global,0.026676151156425475,0.07503255009651184,0.03161025047302246,0.04598034918308258,0.0748645007610321,0.02637214958667755,1.0115273716595896,1.0,1.0115273716595896,0.0
fp16,32,256,64,16,1,graph_global,global,0.04059374928474426,0.14282100200653075,0.057108402252197266,0.04948034882545471,0.08429660201072693,0.04045374989509583,1.0034607271269407,1.0,1.0034607271269407,0.0
fp16,32,256,64,32,1,graph_global,global,0.06928445100784301,0.28013594150543214,0.1070186972618103,0.0962966501712799,0.08921660184860229,0.06889050006866455,1.0057185089204723,1.0,1.0057185089204723,0.0
fp16,32,256,128,8,0,graph_global,global,0.05106840133666992,,,,,0.05125234723091125,0.9964109761956348,1.0,0.9964109761956348,0.0
fp16,32,256,128,16,0,graph_global,global,0.08040254712104797,,,,,0.07987855076789856,1.0065599131195053,1.0,1.0065599131195053,0.0
fp16,32,256,128,32,0,graph_global,global,0.14507900476455687,,,,,0.14475300312042236,1.0022521235284032,1.0,1.0022521235284032,0.0
fp16,128,64,32,8,1,graph_lds_chunked(chunk=4),chunk4,0.015488100051879884,0.01995214968919754,0.015244099497795104,0.015108099579811097,0.019950149953365325,0.015224100649356842,1.0173408865721205,1.0251521026891153,0.9923804320388118,0.0
fp16,128,64,32,16,1,graph_lds_chunked(chunk=4),chunk4,0.024434149265289307,0.03264420032501221,0.022272150218486785,0.021730150282382964,0.022908149659633635,0.022562150657176972,1.0829707520597933,1.1244353558428228,0.9631240661656805,0.0
fp16,128,64,32,32,1,graph_lds_chunked(chunk=8),chunk4,0.04085625112056732,0.0584604024887085,0.037220248579978944,0.034706249833106995,0.03657425045967102,0.03654625117778778,1.1179327510724024,1.1772015506438762,0.9496528019870036,0.0
fp16,128,64,64,8,1,graph_lds_chunked(chunk=4),chunk2,0.022904150187969208,0.02914620041847229,0.021852150559425354,0.022152149677276613,0.0287882000207901,0.022206149995326996,1.0314327424064549,1.0481416978014597,0.9840584956880802,0.0
fp16,128,64,64,16,1,graph_lds_chunked(chunk=4),chunk4,0.03808825016021729,0.050300347805023196,0.034664249420166014,0.033612200617790224,0.03639824986457825,0.03383019864559174,1.1258654008873341,1.133167405292053,0.9935561115060162,0.0
fp16,128,64,64,32,1,graph_lds_chunked(chunk=8),chunk4,0.0701044499874115,0.10064469575881958,0.0626864492893219,0.058126401901245114,0.06097239851951599,0.05908039808273315,1.186594069478693,1.2060689754462472,0.9838525769553531,0.0
fp16,128,64,128,8,1,graph_lds_chunked(chunk=4),chunk2,0.041116300225257876,0.05003635287284851,0.03817425072193146,0.03843629956245422,0.04887635111808777,0.03931230008602142,1.0458889491403205,1.0770689521781807,0.9710510613319563,0.0
fp16,128,64,128,16,1,graph_lds_chunked(chunk=4),chunk4,0.0690505027770996,0.09295865297317504,0.06556450128555298,0.06070045232772827,0.06552044749259948,0.06085644960403443,1.1346456000371399,1.1375615852792746,0.9974366352733168,0.0
fp16,128,64,128,32,1,graph_lds_chunked(chunk=8),chunk4,0.13436294794082643,0.17594125270843505,0.12137484550476074,0.11361880302429199,0.11535885334014892,0.11239080429077149,1.1954976991997475,1.182576689459572,1.0109261495303787,0.0
fp16,128,128,32,8,1,graph_lds_chunked(chunk=4),chunk2,0.023206150531768797,0.029870250821113588,0.021866199374198914,0.02235015034675598,0.028772199153900148,0.022686150670051575,1.0229214673427909,1.0612795637064831,0.9638567464450858,0.0
fp16,128,128,32,16,1,graph_lds_chunked(chunk=4),chunk4,0.038188299536705016,0.04997434914112091,0.0343562513589859,0.0332242488861084,0.035818248987197876,0.03343025147914887,1.1423276178620385,1.1494104702746843,0.9938378389654365,0.0
fp16,128,128,32,32,1,graph_lds_chunked(chunk=8),chunk4,0.06845250129699706,0.0997426986694336,0.06260445117950439,0.05773640275001526,0.05987644791603088,0.05770040154457092,1.1863435862594585,1.1856038484659313,1.0006239333606115,0.0
fp16,128,128,64,8,1,graph_lds_chunked(chunk=4),chunk4,0.03978630006313324,0.04900834858417511,0.037414300441741946,0.036840251088142394,0.04829829931259155,0.03817029893398285,1.0423366118233797,1.0799682110727817,0.9651549009835939,0.0
fp16,128,128,64,16,1,graph_lds_chunked(chunk=4),chunk4,0.067392498254776,0.0939506471157074,0.06626644730567932,0.059032398462295535,0.06372445225715637,0.059442448616027835,1.1337436432018808,1.1416188399971607,0.9931017284233857,0.0
fp16,128,128,64,32,1,graph_lds_chunked(chunk=8),chunk8,0.13143689632415773,0.17153120040893555,0.1177907943725586,0.11673680543899537,0.1146347999572754,0.11911685466766357,1.1034281982249037,1.1465706432352523,0.9623726237324421,0.0
