"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
124,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,136,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083320541,30416083377077,30416083383677,30416083385275,6600
125,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,137,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083326733,30416083388797,30416083395157,30416083396016,6360
126,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,138,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083344186,30416083400517,30416083406957,30416083409843,6440
127,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,139,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083350779,30416083412077,30416083418637,30416083426585,6560
128,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,140,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083368543,30416083423957,30416083430517,30416083430953,6560
129,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,141,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083375326,30416083435637,30416083442037,30416083444910,6400
130,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,142,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083382831,30416083447397,30416083453878,30416083455701,6481
131,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,143,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083390325,30416083458998,30416083465838,30416083466401,6840
132,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,144,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083396587,30416083470918,30416083477478,30416083478174,6560
133,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,145,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083406206,30416083482678,30416083489078,30416083492692,6400
134,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,146,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083413870,30416083494438,30416083500958,30416083501589,6520
135,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,147,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083438828,30416083506118,30416083512518,30416083513963,6400
136,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,148,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083446383,30416083517718,30416083524358,30416083526226,6640
137,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,149,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083453537,30416083529438,30416083535838,30416083538470,6400
138,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,150,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083461802,30416083541198,30416083547558,30416083549872,6360
139,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,151,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083467974,30416083552678,30416083559318,30416083560713,6640
140,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,152,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083475749,30416083564638,30416083571238,30416083572786,6600
141,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,153,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083482653,30416083576358,30416083582718,30416083584228,6360
142,"(anonymous namespace)::gather_direct_lds_kernel(unsigned int const*, int const*, unsigned int*, long, long, long, long, long) [clone .kd]",1,0,154,154728,154728,8192,256,16384,0,24,0,128,32,"0x0","0x72be1e9118c0",30416083489265,30416083588078,30416083594518,30416083596391,6440
143,"void at::native::vectorized_elementwise_kernel<4, at::native::float16tofloat32_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::Half)#1}, std::array<char*, 2ul> >(int, at::native::float16tofloat32_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::Half)#1}, std::array<char*, 2ul>) [clone .kd]",1,0,157,154728,154728,32768,256,0,0,16,0,128,32,"0x0","0x72baaf072700",30416083632631,30416083652599,30416083655359,30416083657178,2760
144,"void at::native::vectorized_elementwise_kernel<4, at::native::float16tofloat32_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::Half)#1}, std::array<char*, 2ul> >(int, at::native::float16tofloat32_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::Half)#1}, std::array<char*, 2ul>) [clone .kd]",1,0,158,154728,154728,32768,256,0,0,16,0,128,32,"0x0","0x72baaf072700",30416083643792,30416083660919,30416083663319,30416083665324,2400
145,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>) [clone .kd]",1,0,159,154728,154728,65536,256,0,0,16,0,128,32,"0x0","0x72baae065700",30416083653220,30416083668639,30416083672959,30416083674341,4320
146,"void at::native::vectorized_elementwise_kernel<4, at::native::AbsFunctor<float>, std::array<char*, 2ul> >(int, at::native::AbsFunctor<float>, std::array<char*, 2ul>) [clone .kd]",1,0,160,154728,154728,65536,256,0,0,16,0,128,32,"0x0","0x72baad8160c0",30416083668039,30416083688119,30416083700599,30416083702425,12480
147,"__amd_rocclr_fillBufferAligned.kd",1,0,161,154728,154728,256,256,0,0,16,0,128,32,"0x0","0x72be40d05740",30416083685482,30416083707159,30416083710799,30416083711542,3640
148,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float> >, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float> >, unsigned int, float, 4, 4>) [clone .kd]",1,0,162,154728,154728,32768,512,2560,0,32,0,128,32,"0x0","0x72baad4186c0",30416083690913,30416083716799,30416083724199,30416083725690,7400
