"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
49,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,57,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497819661311,36497819678807,36497819807248,36497819812522,128441
50,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,58,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497819673415,36497819816448,36497819942689,36497819949465,126241
51,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,59,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497819680238,36497819950849,36497820076970,36497820082551,126121
52,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,60,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497819686690,36497820085210,36497820211571,36497820217220,126361
53,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,61,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497819692451,36497820219651,36497820345732,36497820350696,126081
54,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,64,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820402706,36497820419902,36497820546783,36497820552674,126881
55,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,65,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820412585,36497820550903,36497820676704,36497820685499,125801
56,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,66,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820419238,36497820684784,36497820810585,36497820818515,125801
57,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,67,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820425450,36497820818985,36497820944866,36497820950288,125881
58,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,68,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820431141,36497820952946,36497821079067,36497821085608,126121
