dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,filter_ratio,transform_active_ratio,early_exit_ratio,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,persistent_blocks,metadata_builder,variant,worklist_builder,order,ticket_batch_size,gpu_kernel_ms,cpu_preprocess_ms,h2d_metadata_ms,gpu_preprocess_ms,gpu_metadata_ms,end_to_end_ms,speedup_vs_static_node,end_to_end_speedup_vs_static_node,max_abs_diff
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,cpu,static_chunked,cpu,identity,0,0.015932199358940125,3.820671990979463,0.8298769971588627,0.0,0.0,4.666481187497266,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,cpu,static_chunked,gpu,identity,0,0.01583620011806488,3.328294988023117,0.5537660035770386,0.09631499415263534,0.0,3.994212185870856,1.006062012361522,1.1683107882962496,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,cpu,persistent_chunked,cpu,identity,1,0.024904300272464753,3.820671990979463,0.8298769971588627,0.0,0.0,4.67545328841079,0.6397368801626375,0.998081020093653,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,cpu,persistent_chunked,gpu,identity,1,0.024820299446582796,3.328294988023117,0.5537660035770386,0.09631499415263534,0.0,4.003196285199374,0.6419019799994249,1.1656888283870042,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,cpu,persistent_chunked,cpu,identity,4,0.02700839936733246,3.820671990979463,0.8298769971588627,0.0,0.0,4.677557387505658,0.5898979477551209,0.9976320547048813,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,cpu,persistent_chunked,gpu,identity,4,0.027128300070762633,3.328294988023117,0.5537660035770386,0.09631499415263534,0.0,4.0055042858235534,0.5872907376201931,1.1650171500285418,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,cpu,static_chunked,cpu,sorted,0,0.014836199581623077,3.8752769760321826,0.699475989677012,0.0,0.0,4.589589165290818,1.0738733508731315,1.0167535741081035,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,cpu,static_chunked,gpu,sorted,0,0.01477620005607605,3.4142399817937985,0.5497480015037581,0.08160700963344425,0.0,4.060371192987077,1.0782338692273405,1.1492745282887042,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,cpu,persistent_chunked,cpu,sorted,1,0.02376440018415451,3.8752769760321826,0.699475989677012,0.0,0.0,4.598517365893349,0.6704229534715253,1.0147795074360264,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,cpu,persistent_chunked,gpu,sorted,1,0.023676300048828126,3.4142399817937985,0.5497480015037581,0.08160700963344425,0.0,4.069271292979829,0.6729176149179905,1.1467608944008534,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,cpu,persistent_chunked,cpu,sorted,4,0.02847540080547333,3.8752769760321826,0.699475989677012,0.0,0.0,4.603228366514668,0.5595074663840292,1.0137409695861972,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,48,cpu,persistent_chunked,gpu,sorted,4,0.027044400572776794,3.4142399817937985,0.5497480015037581,0.08160700963344425,0.0,4.072639393503778,0.589112682163777,1.145812515328688,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,256,cpu,static_chunked,cpu,identity,0,0.015456199645996094,0.9413119842065498,0.5772809963673353,0.0,0.0,1.5340491802198812,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,256,cpu,static_chunked,gpu,identity,0,0.01528020054101944,0.47110699233599007,0.4112919850740582,0.08306899690069258,0.0,0.9807481748517602,1.0115181148640155,1.5641621565614967,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,256,cpu,persistent_chunked,cpu,identity,1,0.02199230045080185,0.9413119842065498,0.5772809963673353,0.0,0.0,1.540585281024687,0.7028004951356761,0.9957573911127735,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,256,cpu,persistent_chunked,gpu,identity,1,0.0221562996506691,0.47110699233599007,0.4112919850740582,0.08306899690069258,0.0,0.98762427396141,0.6975984207511533,1.5532720495687433,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,256,cpu,persistent_chunked,cpu,identity,4,0.027420300245285033,0.9413119842065498,0.5772809963673353,0.0,0.0,1.5460132808191702,0.5636772576424948,0.9922613209422433,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,256,cpu,persistent_chunked,gpu,identity,4,0.027368399500846862,0.47110699233599007,0.4112919850740582,0.08306899690069258,0.0,0.9928363738115877,0.5647462010161695,1.545117826747754,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,256,cpu,static_chunked,cpu,sorted,0,0.01528020054101944,0.9541969920974225,0.5552189832087606,0.0,0.0,1.5246961758472026,1.0115181148640155,1.0061343397595142,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,256,cpu,static_chunked,gpu,sorted,0,0.015132200717926026,0.4969469882780686,0.4063419910380617,0.08116599929053336,0.0,0.9995871793245896,1.0214112232655128,1.5346827289805995,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,256,cpu,persistent_chunked,cpu,sorted,1,0.02199620008468628,0.9541969920974225,0.5552189832087606,0.0,0.0,1.5314121753908694,0.7026758979500589,1.0017219432308215,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,256,cpu,persistent_chunked,gpu,sorted,1,0.022024300694465638,0.4969469882780686,0.4063419910380617,0.08116599929053336,0.0,1.0064792793011292,0.7017793600084653,1.524173633544728,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,256,cpu,persistent_chunked,cpu,sorted,4,0.02769240140914917,0.9541969920974225,0.5552189832087606,0.0,0.0,1.5371083767153322,0.5581386539084902,0.9980097717624907,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,0,1023,31.96875,68.10000000000002,124,32,256,cpu,persistent_chunked,gpu,sorted,4,0.027748298645019532,0.4969469882780686,0.4063419910380617,0.08116599929053336,0.0,1.0122032772516831,0.55701431802091,1.515554449087643,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1024,32.0,41.0,188,32,48,cpu,static_chunked,cpu,identity,0,0.01552020013332367,0.7894079899415374,0.621426006546244,0.0,0.0,1.426354196621105,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1024,32.0,41.0,188,32,48,cpu,static_chunked,gpu,identity,0,0.015436199307441712,0.27111099916510284,0.46354201913345605,0.11321798956487328,0.0,0.8633072071708738,1.0054418075465934,1.6521977168421667,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1024,32.0,41.0,188,32,48,cpu,persistent_chunked,cpu,identity,1,0.026492398977279664,0.7894079899415374,0.621426006546244,0.0,0.0,1.437326395465061,0.5858359655021828,0.9923662441053233,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1024,32.0,41.0,188,32,48,cpu,persistent_chunked,gpu,identity,1,0.026716399192810058,0.27111099916510284,0.46354201913345605,0.11321798956487328,0.0,0.8745874070562423,0.5809240991390966,1.6308881023362143,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1024,32.0,41.0,188,32,48,cpu,persistent_chunked,cpu,identity,4,0.027648401260375977,0.7894079899415374,0.621426006546244,0.0,0.0,1.4384823977481573,0.5613416843586644,0.991568752494964,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1024,32.0,41.0,188,32,48,cpu,persistent_chunked,gpu,identity,4,0.027844300866127013,0.27111099916510284,0.46354201913345605,0.11321798956487328,0.0,0.8757153087295592,0.5573923442338684,1.6287875550450104,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1024,32.0,41.0,188,32,48,cpu,static_chunked,cpu,sorted,0,0.015424199402332306,0.8055290090851486,0.6130300025688484,0.0,0.0,1.4339832110563293,1.006224033318504,0.9946798439644182,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1024,32.0,41.0,188,32,48,cpu,static_chunked,gpu,sorted,0,0.01536020040512085,0.2864900015993044,0.4615880025085062,0.08051500481087714,0.0,0.8439532093238086,1.010416513065121,1.6900868210027038,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1024,32.0,41.0,188,32,48,cpu,persistent_chunked,cpu,sorted,1,0.025536298751831055,0.8055290090851486,0.6130300025688484,0.0,0.0,1.444095310405828,0.6077701504103373,0.9877147210042962,0.0
