dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,filter_ratio,transform_active_ratio,early_exit_ratio,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,work_capacity,persistent_blocks,metadata_builder,variant,worklist_builder,order,ticket_batch_size,gpu_kernel_ms,cpu_preprocess_ms,h2d_metadata_ms,gpu_preprocess_ms,gpu_metadata_ms,end_to_end_ms,speedup_vs_static_node,end_to_end_speedup_vs_static_node,max_abs_diff
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,48,gpu,static_chunked_fixed,fixed,identity,0,0.01584009975194931,0.0,0.0,0.2026089932769537,0.15047899796627462,0.218449093028903,0.990909125972438,1.1905066027066995,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,48,gpu,persistent_chunked,gpu,identity,1,0.025668099522590637,0.0,0.0,0.24436898820567876,0.15047899796627462,0.2700370877282694,0.6115022028298628,0.9630717387527713,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,48,gpu,persistent_chunked,gpu,identity,4,0.028460198640823366,0.0,0.0,0.24436898820567876,0.15047899796627462,0.27282918684650215,0.551510535769972,0.9532157853496651,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,48,gpu,static_chunked,gpu,bucket,0,0.01568810045719147,0.0,0.0,0.22534299932885915,0.15047899796627462,0.2410310997860506,1.0005098732858502,1.078969012036388,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,48,gpu,static_chunked_fixed,fixed,bucket,0,0.015771999955177307,0.0,0.0,0.20227799541316926,0.15047899796627462,0.21804999536834657,0.9951876391787543,1.1926855910584975,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,48,gpu,persistent_chunked,gpu,bucket,1,0.02538819909095764,0.0,0.0,0.22534299932885915,0.15047899796627462,0.2507311984198168,0.6182439071115803,1.037226676397701,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,48,gpu,persistent_chunked,gpu,bucket,4,0.02833609879016876,0.0,0.0,0.22534299932885915,0.15047899796627462,0.2536790981190279,0.5539259132582535,1.0251734949174836,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,256,gpu,static_chunked,gpu,identity,0,0.015720100700855257,0.0,0.0,0.231555022764951,0.13794501137454063,0.24727512346580624,1.0,1.0,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,256,gpu,static_chunked_fixed,fixed,identity,0,0.015880100429058075,0.0,0.0,0.18897301924880594,0.13794501137454063,0.20485311967786402,0.9899245140849333,1.2070849780303652,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,256,gpu,persistent_chunked,gpu,identity,1,0.02217610031366348,0.0,0.0,0.231555022764951,0.13794501137454063,0.25373112307861445,0.7088757932416795,0.9745557441496527,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,256,gpu,persistent_chunked,gpu,identity,4,0.028284099698066712,0.0,0.0,0.231555022764951,0.13794501137454063,0.2598391224630177,0.5557928613131626,0.9516470080482216,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,256,gpu,static_chunked,gpu,bucket,0,0.015472100675106048,0.0,0.0,0.2123070153174922,0.13794501137454063,0.22777911599259823,1.016028852898316,1.0855917250721157,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,256,gpu,static_chunked_fixed,fixed,bucket,0,0.015704099833965302,0.0,0.0,0.18990400712937117,0.13794501137454063,0.20560810696333648,1.0010188974254575,1.202652595356562,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,256,gpu,persistent_chunked,gpu,bucket,1,0.022360099852085112,0.0,0.0,0.2123070153174922,0.13794501137454063,0.2346671151695773,0.7030425089711455,1.0537272053952598,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2048,256,gpu,persistent_chunked,gpu,bucket,4,0.028360098600387573,0.0,0.0,0.2123070153174922,0.13794501137454063,0.24066711391787976,0.5543034572044973,1.0274570523589743,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,2048,48,gpu,static_chunked,gpu,identity,0,0.015740099549293517,0.0,0.0,0.22842998441774398,0.13675299123860896,0.2441700839670375,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,2048,48,gpu,static_chunked_fixed,fixed,identity,0,0.015663999319076537,0.0,0.0,0.18772098701447248,0.13675299123860896,0.203384986333549,1.0048582886571185,1.2005315061289794,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,2048,48,gpu,persistent_chunked,gpu,identity,1,0.02522419989109039,0.0,0.0,0.22842998441774398,0.13675299123860896,0.25365418430883435,0.6240078820043439,0.9626101167318037,0.0
