dtype,tasks,num_transforms,policy,best_variant,global_ms,lds_ms,chunk2_ms,chunk4_ms,chunk8_ms,auto_ms,auto_speedup_vs_global,best_speedup_vs_global,auto_vs_best,max_abs_diff_auto
fp16,32,8,graph_global,global,0.015598440170288086,0.041988101005554196,0.018256039619445802,0.026212079524993895,0.04208730220794678,0.015471240282058716,1.0082216994830646,1.0,1.0082216994830646,0.0
fp16,32,16,graph_global,global,0.022503259181976317,0.0792441987991333,0.02293205976486206,0.027936060428619385,0.04423692226409912,0.022556860446929932,0.9976237267114488,1.0,0.9976237267114488,0.0
fp16,32,32,graph_lds_chunked(chunk=2),chunk2,0.037524080276489256,0.15290838241577148,0.03596090078353882,0.03715290069580078,0.0494401216506958,0.03862649917602539,0.9714595181273797,1.0434688636516576,0.9309904223952802,0.0
fp16,128,8,graph_lds_chunked(chunk=4),chunk2,0.04077690124511719,0.0512473201751709,0.03943850040435791,0.03980089902877808,0.05218892097473145,0.03971610069274902,1.0267095846234935,1.0339364029320797,0.993010384112512,0.0
fp16,128,16,graph_lds_chunked(chunk=4),chunk4,0.07393537998199463,0.09956263542175293,0.06878255844116211,0.06528895854949951,0.07262897968292237,0.06590256214141846,1.1218893102113203,1.1324331345542868,0.9906892301000038,0.0
fp16,128,32,graph_lds_chunked(chunk=8),chunk8,0.14400114059448244,0.18656606674194337,0.1275154972076416,0.12410590171813965,0.12200428009033203,0.12145870208740234,1.1855975580148916,1.18029581001473,1.0044918807261507,0.0
fp16,256,8,graph_lds_chunked(chunk=4),chunk4,0.07378178119659423,0.06945536136627198,0.07016337871551513,0.06540336132049561,0.07009615898132324,0.06362656116485596,1.159606614687633,1.1281038115922195,1.0279254469063002,0.0
fp16,256,16,graph_lds_chunked(chunk=8),chunk8,0.13865954399108887,0.13424112319946288,0.12613229751586913,0.12137388229370118,0.11755787849426269,0.11692268371582032,1.1859079828179433,1.1795002237800338,1.0054326051905054,0.0
fp16,256,32,graph_lds_chunked(chunk=8),chunk8,0.2651686668395996,0.2475861930847168,0.23751178741455078,0.21287012100219727,0.21048690795898437,0.20578449249267577,1.2885745841564686,1.2597869834796118,1.0228511653591972,0.0
bf16,32,8,graph_global,global,0.013077640533447265,0.030162479877471924,0.014878439903259277,0.019270440340042116,0.0284320592880249,0.012466440200805664,1.0490276552726014,1.0,1.0490276552726014,0.0
bf16,32,16,graph_lds_chunked(chunk=2),chunk2,0.017872040271759034,0.048877720832824705,0.017076859474182127,0.0198992395401001,0.02946726083755493,0.01699604034423828,1.0515414125748248,1.0465648147294946,1.0047551740468328,0.0
bf16,32,32,graph_lds_chunked(chunk=4),chunk4,0.028601679801940918,0.0944010353088379,0.02674325942993164,0.02448725938796997,0.03151927947998047,0.025062460899353028,1.1412159371260806,1.1680229032078726,0.9770492804480383,0.0
bf16,128,8,graph_lds_chunked(chunk=4),chunk4,0.02987287998199463,0.032767279148101805,0.027740058898925782,0.025118460655212404,0.03235687971115112,0.025022459030151368,1.1938426973143863,1.189279884306749,1.0038366183333682,0.0
bf16,128,16,graph_lds_chunked(chunk=4),chunk8,0.05056012153625488,0.058236942291259766,0.04809132099151611,0.04127769947052002,0.04044648170471191,0.04145130157470703,1.2197475016588122,1.250049927837475,0.975759027296546,0.0
bf16,128,32,graph_lds_chunked(chunk=8),chunk8,0.09940664291381836,0.11191067695617676,0.08852981567382813,0.07786657810211181,0.06864098072052002,0.06885136127471923,1.4437861659289861,1.448211285304393,0.9969444241870573,0.0
bf16,256,8,graph_lds_chunked(chunk=8),lds,0.05268332004547119,0.03940730094909668,0.04809689998626709,0.04136809825897217,0.04023369789123535,0.04061130046844483,1.297257645969904,1.3368923721399606,0.9703530912465199,0.0
bf16,256,16,graph_lds_chunked(chunk=8),chunk8,0.09944024085998535,0.0723697805404663,0.08804900169372559,0.07944657802581787,0.0688225793838501,0.06917856216430664,1.437443013397762,1.4448781453739001,0.9948541460053616,0.0
bf16,256,32,graph_lds_chunked(chunk=8),chunk8,0.1930580520629883,0.14338274002075196,0.1712900161743164,0.14405316352844239,0.13725152015686035,0.13703554153442382,1.408817376143921,1.406600464915423,1.0015760774177134,0.0
