dtype,tasks,tile_tokens,dim,num_transforms,lds_fits,policy,best_variant,global_ms,lds_ms,chunk2_ms,chunk4_ms,chunk8_ms,auto_ms,auto_speedup_vs_global,best_speedup_vs_global,auto_vs_best,max_abs_diff_auto
fp16,32,64,32,8,1,graph_global,global,0.009530050307512283,0.019006149470806123,0.010520049929618835,0.013332100212574005,0.018942150473594665,0.00948610007762909,1.0046331189343911,1.0,1.0046331189343911,0.0
fp16,32,64,32,16,1,graph_global,global,0.011476050317287444,0.030632248520851134,0.011588100343942642,0.013568100333213807,0.019310149550437927,0.011624100059270859,0.9872635523413843,1.0,0.9872635523413843,0.0
fp16,32,64,32,32,1,graph_global,chunk4,0.016018100082874298,0.05512639880180359,0.016036149859428406,0.015776099264621736,0.020322149991989134,0.016020150482654573,0.9998720112034843,1.015339711939773,0.9847659846705512,0.0
fp16,32,64,64,8,1,graph_global,global,0.01226010024547577,0.027260199189186096,0.013840100169181824,0.018218150734901427,0.02713424861431122,0.012036100029945374,1.0186106973997466,1.0,1.0186106973997466,0.0
fp16,32,64,64,16,1,graph_global,global,0.016120100021362306,0.04660240113735199,0.016120100021362306,0.019094149768352508,0.028158199787139893,0.01589615046977997,1.0140882883568625,1.0,1.0140882883568625,0.0
fp16,32,64,64,32,1,graph_lds_chunked(chunk=2),chunk2,0.023876149952411652,0.08639065027236939,0.02296614944934845,0.02319615036249161,0.03000425100326538,0.022908149659633635,1.0422557171644347,1.0396235557497437,1.0025318408765687,0.0
fp16,32,64,128,8,1,graph_global,global,0.0179921492934227,0.044358348846435545,0.020820149779319765,0.028946200013160707,0.0441943496465683,0.01789814978837967,1.0052519118542664,1.0,1.0052519118542664,0.0
fp16,32,64,128,16,1,graph_global,global,0.025412198901176453,0.0787086009979248,0.025888198614120485,0.030424201488494874,0.04732834994792938,0.024750199913978577,1.026747217780006,1.0,1.026747217780006,0.0
fp16,32,64,128,32,1,graph_lds_chunked(chunk=2),chunk2,0.0406563013792038,0.15491520166397094,0.0391882985830307,0.03974030017852783,0.05060635209083557,0.03898029923439026,1.0429961333733142,1.0374602330096763,1.0053360121067756,0.0
fp16,32,128,32,8,1,graph_global,global,0.012376099824905396,0.027928200364112855,0.01394609957933426,0.018542149662971498,0.028008249402046204,0.012236099690198898,1.011441565388572,1.0,1.011441565388572,0.0
fp16,32,128,32,16,1,graph_global,chunk2,0.016358150541782378,0.04721035063266754,0.016048100590705872,0.019050149619579314,0.028216248750686644,0.016238099336624144,1.0073931808563004,1.0193200403576774,0.9882992004187497,0.0
fp16,32,128,32,32,1,graph_lds_chunked(chunk=2),chunk2,0.023892149329185486,0.08583664894104004,0.023118150234222413,0.023346200585365295,0.029978251457214354,0.02289019972085953,1.0437719906573333,1.0334801481572389,1.0099584326979532,0.0
fp16,32,128,64,8,1,graph_global,global,0.017502149939537047,0.0439923495054245,0.020204150676727296,0.028120198845863344,0.04407835006713867,0.017386150360107423,1.0066719530791466,1.0,1.0066719530791466,0.0
fp16,32,128,64,16,1,graph_global,global,0.024726200103759765,0.07819460034370422,0.024796199798583985,0.030058249831199646,0.046020349860191344,0.024618199467658995,1.0043870241705797,1.0,1.0043870241705797,0.0
fp16,32,128,64,32,1,graph_lds_chunked(chunk=4),chunk2,0.039746299386024475,0.15351514816284179,0.03828429877758026,0.038292300701141355,0.049318349361419676,0.038544300198554995,1.0311848750989787,1.0381879949516113,0.993254478103497,0.0
fp16,32,128,128,8,1,graph_global,global,0.029994198679924013,0.07929059863090515,0.03410624861717224,0.048406350612640384,0.07728455066680909,0.02998020052909851,1.000466913181982,1.0,1.000466913181982,0.0
fp16,32,128,128,16,1,graph_global,global,0.04265629947185516,0.1443590044975281,0.06022045016288757,0.05193235278129578,0.08315060138702393,0.04255230128765106,1.0024440084568182,1.0,1.0024440084568182,0.0
fp16,32,128,128,32,1,graph_global,global,0.07187255024909973,0.28482804298400877,0.11016279458999634,0.0988627016544342,0.09207664728164673,0.0718304991722107,1.0005854209197158,1.0,1.0005854209197158,0.0
fp16,32,256,32,8,1,graph_global,global,0.01768610030412674,0.04507834911346435,0.02068614959716797,0.02875419855117798,0.04446229934692383,0.017538149654865266,1.0084359326481418,1.0,1.0084359326481418,0.0
fp16,32,256,32,16,1,graph_global,global,0.02438414990901947,0.07824655175209046,0.024834200739860535,0.029982250928878785,0.046176350116729735,0.024388200044631957,0.9998339305235698,1.0,0.9998339305235698,0.0
fp16,32,256,32,32,1,graph_lds_chunked(chunk=2),chunk2,0.03944230079650879,0.15013309717178344,0.03824430108070374,0.03862229883670807,0.04921235144138336,0.03778825104236603,1.0437715350278671,1.031324921150396,1.012068566968776,0.0
fp16,32,256,64,8,1,graph_global,global,0.028206199407577515,0.07789654731750488,0.03341025114059448,0.047904351353645326,0.07714654803276062,0.027996200323104858,1.007500985206887,1.0,1.007500985206887,0.0
fp16,32,256,64,16,1,graph_global,global,0.041808301210403444,0.14596705436706542,0.06011239886283874,0.05110639929771423,0.08168860077857971,0.04171229898929596,1.0023015327237685,1.0,1.0023015327237685,0.0
fp16,32,256,64,32,1,graph_global,global,0.07095850110054017,0.27936205863952634,0.10894080400466918,0.09859074950218201,0.0887526512145996,0.07219650149345398,0.9828523492509389,1.0,0.9828523492509389,0.0
fp16,32,256,128,8,0,graph_global,global,0.05198040008544922,,,,,0.052490347623825075,0.990284927392167,1.0,0.990284927392167,0.0
fp16,32,256,128,16,0,graph_global,global,0.07851254940032959,,,,,0.07790254950523376,1.0078302943738042,1.0,1.0078302943738042,0.0
fp16,32,256,128,32,0,graph_global,global,0.14402904510498046,,,,,0.14634109735488893,0.984200936772385,1.0,0.984200936772385,0.0
fp16,128,64,32,8,1,graph_lds_chunked(chunk=4),chunk2,0.017138099670410155,0.02190819978713989,0.017006100714206697,0.017068099975585938,0.021748149394989015,0.01664409935474396,1.0296802070894508,1.007761859018816,1.021749531275152,0.0
fp16,128,64,32,16,1,graph_lds_chunked(chunk=4),chunk4,0.026130199432373047,0.034720250964164735,0.024190150201320648,0.023462200164794923,0.024542149901390076,0.024042150378227232,1.0868495130966642,1.1137147943857995,0.9758777728153004,0.0
fp16,128,64,32,32,1,graph_lds_chunked(chunk=4),chunk4,0.04281429946422577,0.06009244918823242,0.03879829943180084,0.035794249176979064,0.038082250952720643,0.03619025051593781,1.1830340728194406,1.1961222947445318,0.9890577895064764,0.0
fp16,128,64,64,8,1,graph_lds_chunked(chunk=2),chunk4,0.02471420019865036,0.03133625090122223,0.02387415021657944,0.02373020052909851,0.030634200572967528,0.02346615046262741,1.053185107545041,1.041466133770983,1.0112523810367462,0.0
fp16,128,64,64,16,1,graph_lds_chunked(chunk=4),chunk4,0.03979425132274628,0.05188634991645813,0.036750251054763795,0.03594025075435638,0.038516300916671756,0.03531225025653839,1.1269248216595316,1.1072335469980754,1.0177842106706783,0.0
fp16,128,64,64,32,1,graph_lds_chunked(chunk=4),chunk4,0.07192454934120178,0.09954270124435424,0.06441845297813416,0.05997045040130615,0.06220844984054565,0.0586624026298523,1.22607575068193,1.1993331525760105,1.0222978894967423,0.0
fp16,128,64,128,8,1,graph_lds_chunked(chunk=2),chunk2,0.04301030039787292,0.05158039927482605,0.04009830057621002,0.04021824896335602,0.05100839734077454,0.04102430045604706,1.0484103304565457,1.0726215270926112,0.9774280153581376,0.0
fp16,128,64,128,16,1,graph_lds_chunked(chunk=4),chunk4,0.07093254923820495,0.0941366970539093,0.06772645115852356,0.06327049732208252,0.06801245212554932,0.06147044897079468,1.1539292526056841,1.1210999160812387,1.0292831495690404,0.0
fp16,128,64,128,32,1,graph_lds_chunked(chunk=4),chunk8,0.13299094438552855,0.17832330465316773,0.12283689975738525,0.11707085371017456,0.11673280000686645,0.1160968542098999,1.1455172088046814,1.1392765733170607,1.0054777177322718,0.0
fp16,128,128,32,8,1,graph_lds_chunked(chunk=2),chunk4,0.025056201219558715,0.03153020143508911,0.02419620007276535,0.023748150467872618,0.030740249156951904,0.023676149547100067,1.0582886870904935,1.0550801104892642,1.003041073914038,0.0
fp16,128,128,32,16,1,graph_lds_chunked(chunk=4),chunk4,0.03953030109405518,0.05156834721565247,0.03614625036716461,0.03491424918174744,0.037636250257492065,0.035224249958992,1.1222467799903837,1.1322111178240926,0.9911992227625722,0.0
