"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
16,16,"Agent 2",1,1148256,1148256,4083712,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",127616.000000,184922405624447,184922407184245
17,17,"Agent 2",1,1148256,1148256,6168576,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",192768.000000,184922407254325,184922409232203
18,18,"Agent 2",1,1148256,1148256,10321920,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",322560.000000,184922409411683,184922413208879
19,19,"Agent 2",1,1148256,1148256,18579456,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",580608.000000,184922413388215,184922420801600
20,20,"Agent 2",1,1148256,1148256,33371136,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",1042848.000000,184922420972198,184922434571130
21,21,"Agent 2",1,1148256,1148256,66941952,16,"(anonymous namespace)::replay_paged_kv_chunk_softmax_standalone(float*, float*, float*, unsigned int const*, unsigned int const*, unsigned int const*, int const*, int const*, int const*, int const*, int, int, long, long, long, long, long, long, long, long, long, int)",256,0,0,24,0,128,"Wavefronts",2091936.000000,184922434738588,184922462223584
